"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_Andersson_10142021_ST_A3_10x12",0.0835016830320086,0.0603082299676351,0.0148835291552131,0.0294956071891081,0.0191583726178442,0.0194288193679277,0.0340680056689682,0.138887010093715,0.60026874290758,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x13",0.157885660990185,0.0678043792706222,0.0285854003434978,0.0218889457249453,0.0344010066620249,0.029324572563509,0.0169882159628895,0.137733413585406,0.505388404896921,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x14",0.0715667545388537,0.0515683106040272,0.0184968650928801,0.00422285592325045,0.0032564416745659,0.00636636589204999,0.00428480337758418,0.253045340433668,0.58719226246312,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x15",0.0901382433369916,0.0617066694159623,0.0301888647299289,0.0173641392786696,0.0134328922764747,0.0405368657343989,0.00353263210400614,0.104716397055266,0.638383296068302,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x16",0.0822878143453064,0.116411289249143,0.0244497560737587,0.00518177881250567,0.0167415985147855,0.0344513741643629,0.00482897486670903,0.0447764170584399,0.670870996914989,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x17",0.093428033056762,0.0688178818657481,0.0210733220491299,0.00803725762103995,0.00398441820882877,0.0122842447912574,0.00593626248995475,0.314355167019664,0.472083412897615,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x18",0.098977644186199,0.108577665302991,0.0309124135722388,0.00827523587015095,0.0374097935556039,0.0349100895128217,0.0158184918057972,0.26470207756103,0.400416588633168,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x19",0.241636139036141,0.16912352832149,0.0465160726760154,0.0170240933456134,0.0112989580545775,0.0520638852708823,0.0152167223449959,0.0689884285537124,0.378132172396572,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x20",0.0659407803428171,0.0840446306483403,0.0289933425958702,0.006998314989422,0.0104588162026806,0.0239335522649304,0.00947683871131199,0.0670092354230727,0.703144488821555,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x21",0.0989544748913203,0.0457106984417976,0.016521568707972,0.0108280036138956,0.0139721628814211,0.0124158558003443,0.00496441785679468,0.170689302760541,0.625943515045914,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x22",0.144545547358114,0.104587371315115,0.0222285485194659,0.0092659033618845,0.0116788958096262,0.0295780537784152,0.00265952611731292,0.354071028867093,0.321385124872973,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x23",0.268047293441675,0.114616758580338,0.104824534740338,0.0134796416543524,0.0123336328448041,0.011908727676722,0.0047139502659821,0.108609945779583,0.361465515016205,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x24",0.129902483356878,0.133800709255183,0.0530227414890897,0.0276445967207994,0.00710211999083276,0.0486200494184124,0.00672372336254169,0.330452173908455,0.262731402497808,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_10x25",0.072750796587679,0.0886448541273991,0.0126545403459749,0.00958416786369667,0.00780184552923257,0.0307359395072453,0.00985523628760772,0.295049871506153,0.472922748245012,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x12",0.0787878943607916,0.053239089545401,0.00580362957276042,0.0102779855361882,0.013042321361087,0.0194698103882479,0.0154274255013307,0.0534961518510223,0.750455691883171,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x13",0.0718618747031355,0.0430630788730021,0.0103882551837113,0.00789358162306446,0.0182324681222879,0.0201256056458201,0.0113784878207622,0.113144867387725,0.703911780640491,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x14",0.0406915326045822,0.100881759050097,0.00842429834342419,0.00496922097886283,0.00676979891491817,0.0124119245486398,0.00697653444160536,0.0853060002828005,0.73356893083507,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x15",0.0305857880579714,0.0743621060418501,0.0139667705816808,0.00929594368702586,0.00781911438870616,0.0270893486966027,0.0106759146038211,0.110145260538382,0.71605975340396,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x16",0.0752120723189572,0.0345556617469908,0.0320321423772985,0.0131476953443803,0.018878971517655,0.0305648202537733,0.0255695230639125,0.0416695634540452,0.728369549922987,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x18",0.0428232367567461,0.0669158752141661,0.00853089099876092,0.00333424242852618,0.00424704375727249,0.0268075925918132,0.00510180032474217,0.244700232640063,0.59753908528791,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x20",0.0677298467593244,0.0463426491606547,0.00796072406605499,0.0057661993056421,0.0139124793583566,0.0141051721678353,0.00562104326882549,0.361562130175624,0.476999755737682,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x21",0.0311013791504371,0.0718732110163901,0.0180495993955502,0.0041181093820169,0.0142807951445418,0.0111754531881825,0.0135885893174751,0.133523010400781,0.702289853004625,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x22",0.112153417035673,0.0867246191875987,0.0409894857293009,0.0102253937591138,0.0497996392193702,0.0303170434700606,0.022361735981257,0.116197444759074,0.531231220858551,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x23",0.0705057800920643,0.13778881096027,0.0248068743654476,0.0113374329752449,0.0173102733473282,0.041173409314533,0.0055934994383305,0.2651265964278,0.426357323078982,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x24",0.0493069528805907,0.0983584590920156,0.026720495407375,0.0400285293001467,0.0482729196169669,0.0810437951177561,0.0202327233847328,0.276304104919879,0.359732020280537,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_11x25",0.0982841479108297,0.121797612857304,0.0154676960424845,0.00303976793497013,0.00871049412296259,0.0437673573805409,0.00969715340170156,0.263397454281879,0.435838316067328,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x12",0.0629421186547848,0.0798996801265382,0.0184872257420773,0.0177896773870756,0.00914821893252214,0.0235680360245992,0.0160517841771732,0.112416652618066,0.659696606337163,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x13",0.0899621562798162,0.126018998803242,0.0189611774351301,0.0243484390533114,0.0110164150961629,0.0260539582968968,0.0168499063222325,0.061508521677774,0.625280427035434,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x14",0.0360089881164424,0.0465607166362269,0.0105167360557403,0.0137374099506567,0.0118471661986269,0.00560104704031703,0.0178660086386742,0.0622963965027484,0.795565530860567,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x15",0.0594392293682847,0.0280957729428909,0.0198399278712759,0.00658452714200851,0.00545582608467848,0.00906584896063436,0.0240518518051028,0.0545568433437464,0.792910172481378,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x16",0.040642123426621,0.0349170174289365,0.0145539694135431,0.0123855614555711,0.0203293255278845,0.0144649477921196,0.014906743239319,0.137845299696096,0.709955012019909,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x17",0.0719522807426912,0.0607148899808677,0.0527248715089386,0.0220903804143797,0.0188879905514973,0.0167810639515327,0.0276951854835769,0.0510602254446863,0.67809311192183,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x18",0.0430373058158813,0.0644575126776384,0.0137570311890349,0.0106180432045375,0.0135529952365969,0.0427067772721467,0.0104292301614071,0.072814013028668,0.728627091414089,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x19",0.118152984876333,0.0952989540749758,0.0321173470734107,0.0214760212839935,0.0612747978561744,0.0969153366085504,0.0174154898334891,0.135356694584918,0.421992373808156,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x20",0.050364260601837,0.0488426273318337,0.0212946907796346,0.0278004636398812,0.0189575686791717,0.0268758359091093,0.0107172975611791,0.0881008841453289,0.707046371352025,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x21",0.0613824125338562,0.0447023388641724,0.0295843982121608,0.00648535938391845,0.00954957818471423,0.0112841485523367,0.0128175139376702,0.291074425899618,0.533119824431553,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x22",0.0211887637520427,0.0338742553610161,0.0217323419623891,0.0101344203259094,0.0130781106518037,0.0124216563690456,0.0096546448980202,0.173795933865472,0.704119872814301,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x23",0.109883865074589,0.115668566350575,0.0279055150130457,0.016316549284294,0.019413220168577,0.0556149031011208,0.0089103000438429,0.0897615810511644,0.556525499912792,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x24",0.153245289063948,0.065173594783479,0.0370905716586082,0.0195392907123181,0.0497284270880449,0.0672131255502153,0.0081918027895375,0.0922872132007554,0.507530685153094,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x25",0.250882932992995,0.061287373400686,0.0354687267920648,0.034881656923755,0.0329758988184795,0.0518155023081306,0.00407459797504377,0.0569865204297924,0.471626790359053,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x26",0.223329674756295,0.0605758125598035,0.0828301893755835,0.0177949950558493,0.0150612426305187,0.0708074490799759,0.0120367679956732,0.121177003044419,0.396386865501883,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_12x27",0.020960681320198,0.0533896859430922,0.00596254671018567,0.0212553523691987,0.0151072131488272,0.0154480882803739,0.00630269743711141,0.322880750862875,0.538692983928138,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_13x12",0.0551964843734061,0.0469171701439611,0.024492523433262,0.0146894010117292,0.016203163697909,0.0094234226917631,0.0168906506261219,0.0510201164871832,0.765167067534664,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_13x13",0.132186782902804,0.0852789848044149,0.0346771880429503,0.0152432909634663,0.0137348955774637,0.0441249858177603,0.0169585584212057,0.0269836030576155,0.630811710412319,"Human_Breast_Andersson_10142021_ST_A3"
"Human_Breast_Andersson_10142021_ST_A3_13x14",0.100476767132706,0.0439860212130358,0.0122542598596007,0.00823586080602939,0.00938535796506478,0.0172790853061053,0.0226842374711679,0.0946736284260874,0.691024781820203,"Human_Breast_Andersson_10142021_ST_A3"
