"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_He_06222020_ST_BC23567_E1_9x10",0.0013015108215259,0.0246939394317881,0.00395518155643611,0.00118753048178421,0.000373247914812848,0.0543298541530391,0.00208637899539038,0.908168376993502,0.00390397965172143,"Human_Breast_He_06222020_ST_BC23567_E1"
"Human_Breast_He_06222020_ST_BC23567_E1_12x16",0.000482832137313327,0.00870429222849678,0.0011928169087541,0.00102511543527627,0.000456371026400574,0.0348960520840993,0.00108891834949814,0.949699892830461,0.00245370899970076,"Human_Breast_He_06222020_ST_BC23567_E1"
"Human_Breast_He_06222020_ST_BC23567_E1_23x21",0.000607805672898046,0.00600743922010992,0.00156289141914627,0.00221820164787352,0.000380886792721716,0.0524999025819322,0.00191899879997486,0.930643018734341,0.00416085513100263,"Human_Breast_He_06222020_ST_BC23567_E1"
"Human_Breast_He_06222020_ST_BC23567_E1_23x22",0.00262143847944855,0.0162185943209995,0.00389387344849063,0.00215768049985999,0.00104047594022716,0.0778151928356299,0.00248357708472801,0.880485964340674,0.0132832030499423,"Human_Breast_He_06222020_ST_BC23567_E1"
"Human_Breast_He_06222020_ST_BC23567_E1_23x23",0.00542814466868233,0.012649936527678,0.00296427277984355,0.000800393278129073,0.00112520036883441,0.0647288419395315,0.013507868308151,0.857033599309338,0.0417617428198117,"Human_Breast_He_06222020_ST_BC23567_E1"
"Human_Breast_He_06222020_ST_BC23567_E1_23x24",0.00390418656489723,0.0111341924598851,0.00215554435980324,0.00228237247661029,0.00101569109552287,0.0842443498083365,0.0402074024889057,0.796431842994858,0.0586244177511816,"Human_Breast_He_06222020_ST_BC23567_E1"
"Human_Breast_He_06222020_ST_BC23567_E1_23x25",0.00438381808026327,0.0193852013415136,0.00243348772166411,0.00338961329907989,0.00314883399681805,0.0886113971286345,0.0291291464403147,0.809519208366754,0.0399992936249584,"Human_Breast_He_06222020_ST_BC23567_E1"
"Human_Breast_He_06222020_ST_BC23567_E1_23x27",0.0063193129610935,0.0155655105338802,0.00532412048670212,0.00323740727507838,0.00215871250422265,0.0778274184046697,0.0246611028309061,0.808679487431318,0.0562269275721294,"Human_Breast_He_06222020_ST_BC23567_E1"
"Human_Breast_He_06222020_ST_BC23567_E1_23x28",0.00519936984544133,0.013294852952681,0.00778132304308353,0.000677159182447014,0.00116029359149768,0.0457176705724258,0.0455615874112808,0.790702043050517,0.0899057003506262,"Human_Breast_He_06222020_ST_BC23567_E1"
"Human_Breast_He_06222020_ST_BC23567_E1_23x29",0.0101181053666232,0.0273619128298236,0.00486626492562687,0.00349000768554573,0.00408765268165373,0.101175442693866,0.0299147412245405,0.728176108997827,0.0908097635944931,"Human_Breast_He_06222020_ST_BC23567_E1"
