"","X","Endothelial","CAFs","PVL","B.cells","T.cells","Myeloid","Normal.Epithelial","Plasmablasts","Cancer.Epithelial","sid","invasive.cancer","stroma","lymphocyte","others"
"1","Human_Breast_He_06222020_ST_BC23895_D1_23x20",0.0178191165583767,0.00104929471223296,0.00292664078728873,0.0027750617678902,0.00226370785601551,0.000484976494478958,0.078826188576558,0.17054130043599,0.723313712811169,"Human_Breast_He_06222020_ST_BC23895_D1",0.723313712811169,0.0217950520578984,0.175580070059896,0.079311165071037
"2","Human_Breast_He_06222020_ST_BC23895_D1_23x21",0.0173279792130883,0.00168224819317938,0.00376457391910915,0.00674127734087488,0.0050868731430199,0.00248260722217088,0.0378299631750892,0.311774080555227,0.613310397238242,"Human_Breast_He_06222020_ST_BC23895_D1",0.613310397238242,0.0227748013253768,0.323602231039122,0.0403125703972601
"3","Human_Breast_He_06222020_ST_BC23895_D1_23x22",0.00752877442111327,0.000769166273106503,0.000951984037706467,0.00195773781849767,0.00213386582386804,0.00137106888376813,0.037319831405901,0.28711844464008,0.660849126695959,"Human_Breast_He_06222020_ST_BC23895_D1",0.660849126695959,0.00924992473192624,0.291210048282446,0.0386909002896691
"4","Human_Breast_He_06222020_ST_BC23895_D1_23x23",0.00996174526675475,0.000757069044343608,0.00225694377348705,0.00168847966358708,0.00145534189711734,0.000650769591370427,0.033043857538068,0.205352231350928,0.744833561874344,"Human_Breast_He_06222020_ST_BC23895_D1",0.744833561874344,0.0129757580845854,0.208496052911632,0.0336946271294384
"5","Human_Breast_He_06222020_ST_BC23895_D1_23x24",0.0233263585196399,0.00169122316935261,0.0040064521820934,0.0075315392783605,0.00641710108941417,0.00331125657662168,0.0560076432956369,0.216148540583927,0.681559885304953,"Human_Breast_He_06222020_ST_BC23895_D1",0.681559885304953,0.0290240338710859,0.230097180951702,0.0593188998722586
"6","Human_Breast_He_06222020_ST_BC23895_D1_23x25",0.0272822759204706,0.00124120921834469,0.00076876394257824,0.00544711954316942,0.0026482736912482,0.00107337550334563,0.150315038767443,0.29775457520847,0.51346936820493,"Human_Breast_He_06222020_ST_BC23895_D1",0.51346936820493,0.0292922490813935,0.305849968442888,0.151388414270789
"7","Human_Breast_He_06222020_ST_BC23895_D1_23x27",0.0205574727783182,0.00179038309682064,0.00449480400303808,0.00214194632410276,0.00526293733641835,0.00417242978043925,0.0909809005249923,0.275585179993388,0.595013946162482,"Human_Breast_He_06222020_ST_BC23895_D1",0.595013946162482,0.0268426598781769,0.282990063653909,0.0951533303054315
"8","Human_Breast_He_06222020_ST_BC23895_D1_20x21",0.0117216307404201,0.00417185729156275,0.0021549387028115,0.00825206938450852,0.00400125204293581,0.00231001855948486,0.0642245050019737,0.427622272606647,0.475541455669655,"Human_Breast_He_06222020_ST_BC23895_D1",0.475541455669655,0.0180484267347943,0.439875594034091,0.0665345235614586
"9","Human_Breast_He_06222020_ST_BC23895_D1_11x8",0.0156107066288802,0.00248569970422881,0.00622723922615624,0.00443265671918042,0.00449521565547675,0.00354001512356535,0.0940890304098212,0.161851069091536,0.707268367441155,"Human_Breast_He_06222020_ST_BC23895_D1",0.707268367441155,0.0243236455592653,0.170778941466193,0.0976290455333865
"10","Human_Breast_He_06222020_ST_BC23895_D1_11x6",0.0175290521081067,0.00151458960062728,0.00215340904658641,0.000937493323802382,0.00133838795024584,0.000835973347917978,0.0602915332666765,0.350026910172791,0.565372651183246,"Human_Breast_He_06222020_ST_BC23895_D1",0.565372651183246,0.0211970507553204,0.352302791446839,0.0611275066145945
"11","Human_Breast_He_06222020_ST_BC23895_D1_11x7",0.0198821897245105,0.00220328148342312,0.00381272857851093,0.00399924343069584,0.0049240006444552,0.00225388847579988,0.0474512980261774,0.286945610750857,0.62852775888557,"Human_Breast_He_06222020_ST_BC23895_D1",0.62852775888557,0.0258981997864446,0.295868854826008,0.0497051865019773
"12","Human_Breast_He_06222020_ST_BC23895_D1_11x4",0.025769183676268,0.0015760407560681,0.0035475128573652,0.00546343848881034,0.00456790446677062,0.00309332550360846,0.103835389568262,0.230774270294165,0.621372934388683,"Human_Breast_He_06222020_ST_BC23895_D1",0.621372934388683,0.0308927372897013,0.240805613249746,0.10692871507187
"13","Human_Breast_He_06222020_ST_BC23895_D1_11x5",0.0133147760978351,0.00141661787352798,0.00388757594579312,0.00304692669086024,0.00103558135525218,0.00118633565476303,0.0676896047316747,0.234673845759643,0.673748735890651,"Human_Breast_He_06222020_ST_BC23895_D1",0.673748735890651,0.0186189699171562,0.238756353805755,0.0688759403864377
"14","Human_Breast_He_06222020_ST_BC23895_D1_3x22",0.00841943844610107,0.000483623092064985,0.00198832425475493,0.000623671876637717,0.000557541237559056,0.000304113708723576,0.0575013654567541,0.48958553227548,0.440536389651925,"Human_Breast_He_06222020_ST_BC23895_D1",0.440536389651925,0.010891385792921,0.490766745389677,0.0578054791654777
"15","Human_Breast_He_06222020_ST_BC23895_D1_18x28",0.0108317637285302,0.00105549977489317,0.0017515694653984,0.00184970063902142,0.00160484331178523,0.00147178886513228,0.0291584403358114,0.200081146045149,0.752195247834279,"Human_Breast_He_06222020_ST_BC23895_D1",0.752195247834279,0.0136388329688218,0.203535689995956,0.0306302292009437
"16","Human_Breast_He_06222020_ST_BC23895_D1_18x29",0.0160693744129695,0.00164468966415775,0.00133018532262787,0.00331010225430758,0.00281020783660691,0.00174818750952062,0.0726188980402074,0.51230901027264,0.388159344686962,"Human_Breast_He_06222020_ST_BC23895_D1",0.388159344686962,0.0190442493997551,0.518429320363554,0.074367085549728
