"","X","Endothelial","CAFs","PVL","B.cells","T.cells","Myeloid","Normal.Epithelial","Plasmablasts","Cancer.Epithelial","sid","invasive.cancer","stroma","lymphocyte","others"
"1","Human_Breast_He_06222020_ST_BC23895_C2_9x10",0.0165552731165782,0.00224147680907952,0.0023939320007891,0.00279405443578306,0.00132856395603549,0.00186807344980565,0.0568720292874358,0.518480373129813,0.39746622381468,"Human_Breast_He_06222020_ST_BC23895_C2",0.39746622381468,0.0211906819264468,0.522602991521632,0.0587401027372415
"2","Human_Breast_He_06222020_ST_BC23895_C2_16x27",0.00771255841827684,0.0079846636795583,0.00854466701997171,0.00489994943866982,0.00332847106938194,0.00389758676623373,0.0329774082537368,0.509041738020623,0.421612957333548,"Human_Breast_He_06222020_ST_BC23895_C2",0.421612957333548,0.0242418891178069,0.517270158528675,0.0368749950199705
"3","Human_Breast_He_06222020_ST_BC23895_C2_23x20",0.0167864637414014,0.00109819923767312,0.00389149860439485,0.00211658579645904,0.00152087029866296,0.000932537283279031,0.0488052107649778,0.42218588479839,0.502662749474762,"Human_Breast_He_06222020_ST_BC23895_C2",0.502662749474762,0.0217761615834694,0.425823340893512,0.0497377480482568
"4","Human_Breast_He_06222020_ST_BC23895_C2_23x21",0.0113348810776673,0.00114316570281256,0.00172293581517426,0.0019765005128962,0.00134417763382062,0.00134586121258983,0.0298041126709453,0.333286083450161,0.618042281923933,"Human_Breast_He_06222020_ST_BC23895_C2",0.618042281923933,0.0142009825956541,0.336606761596878,0.0311499738835351
"5","Human_Breast_He_06222020_ST_BC23895_C2_23x22",0.0241350507976438,0.00115347712971079,0.00209573295042939,0.000845586608981839,0.00195186850986969,0.00231141145511151,0.075628636183875,0.346585344848158,0.54529289151622,"Human_Breast_He_06222020_ST_BC23895_C2",0.54529289151622,0.027384260877784,0.34938279996701,0.0779400476389865
"6","Human_Breast_He_06222020_ST_BC23895_C2_23x23",0.0174029018535072,0.00145828970678428,0.00124163358971061,0.00164466327926503,0.00134851006202428,0.00368609422349024,0.057074399591468,0.344508683126084,0.571634824567666,"Human_Breast_He_06222020_ST_BC23895_C2",0.571634824567666,0.0201028251500021,0.347501856467373,0.0607604938149582
"7","Human_Breast_He_06222020_ST_BC23895_C2_23x24",0.0185367361338248,0.00306260511541714,0.00262281643401918,0.00222952892680161,0.00231225140180394,0.00237639896376431,0.133680456724316,0.351503868925961,0.483675337374092,"Human_Breast_He_06222020_ST_BC23895_C2",0.483675337374092,0.0242221576832611,0.356045649254567,0.13605685568808
"8","Human_Breast_He_06222020_ST_BC23895_C2_20x21",0.0134012474978102,0.00104493000761798,0.00107929289256805,0.00239671312964902,0.00223162116344169,0.00206446501308245,0.0601262411357341,0.356051356174267,0.56160413298583,"Human_Breast_He_06222020_ST_BC23895_C2",0.56160413298583,0.0155254703979962,0.360679690467358,0.0621907061488166
"9","Human_Breast_He_06222020_ST_BC23895_C2_16x28",0.0157873466874995,0.0019413975309377,0.00144710594308409,0.00164728221665324,0.00120113103403242,0.0011974027728502,0.0800462355219154,0.546262264929498,0.35046983336353,"Human_Breast_He_06222020_ST_BC23895_C2",0.35046983336353,0.0191758501615213,0.549110678180184,0.0812436382947656
"10","Human_Breast_He_06222020_ST_BC23895_C2_11x8",0.0206387517538461,0.00160771629049464,0.00100047613873431,0.00266674374657656,0.00304215474319685,0.00132802959467622,0.0492081830580622,0.377233074437323,0.54327487023709,"Human_Breast_He_06222020_ST_BC23895_C2",0.54327487023709,0.023246944183075,0.382941972927096,0.0505362126527384
"11","Human_Breast_He_06222020_ST_BC23895_C2_11x7",0.0290527968807921,0.00210092828524191,0.00343030352477458,0.00315993155225286,0.00362600765779356,0.00247173812101792,0.0563745695042878,0.320637203047328,0.579146521426512,"Human_Breast_He_06222020_ST_BC23895_C2",0.579146521426512,0.0345840286908086,0.327423142257374,0.0588463076253057
"12","Human_Breast_He_06222020_ST_BC23895_C2_20x23",0.011231912515953,0.00125630867014857,0.00251834374258753,0.00160954550006621,0.00195076000003652,0.00117320782084531,0.114330926610285,0.346959837436408,0.51896915770367,"Human_Breast_He_06222020_ST_BC23895_C2",0.51896915770367,0.0150065649286891,0.350520142936511,0.11550413443113
"13","Human_Breast_He_06222020_ST_BC23895_C2_20x22",0.00838105139239678,0.000809771808726019,0.00292502960364052,0.00293908954504776,0.000792797681853,0.00126949657285516,0.074347147800509,0.37829994265636,0.530235672938612,"Human_Breast_He_06222020_ST_BC23895_C2",0.530235672938612,0.0121158528047633,0.382031829883261,0.0756166443733642
"14","Human_Breast_He_06222020_ST_BC23895_C2_18x28",0.0125046345345972,0.00168670935517138,0.00156495487179741,0.00415192593904798,0.00254325541655717,0.00172268800855056,0.0757031567176863,0.391264506159916,0.508858168996676,"Human_Breast_He_06222020_ST_BC23895_C2",0.508858168996676,0.015756298761566,0.397959687515521,0.0774258447262369
"15","Human_Breast_He_06222020_ST_BC23895_C2_18x29",0.0108569667081376,0.00238290384389482,0.00177410380795585,0.00155857024286288,0.00149190650885039,0.0020941360813912,0.0602539456738194,0.436296921351063,0.483290545782025,"Human_Breast_He_06222020_ST_BC23895_C2",0.483290545782025,0.0150139743599883,0.439347398102776,0.0623480817552106
"16","Human_Breast_He_06222020_ST_BC23895_C2_18x26",0.0144694661488083,0.0011432307108286,0.000807021111239612,0.00171434925445979,0.0016097506137727,0.000315176373871484,0.082725130340947,0.409255906580249,0.487959968865823,"Human_Breast_He_06222020_ST_BC23895_C2",0.487959968865823,0.0164197179708765,0.412580006448482,0.0830403067148185
