"","Endothelial","CAFs","PVL","Plasmablasts","T-cells","Myeloid","Cancer Epithelial","Normal Epithelial","B-cells","sid"
"16x15",0.044222073501411,0.139196141562468,0.0195051276782676,0.418991369937708,0.00467718003002392,0.0704244546719739,0.269594208948916,0.0200465469601337,0.0133428967090982,"BC23270_D2"
"26x15",0.0579520256364376,0.11567757870725,0.0162992344859216,0.367862990871645,0.0181182159076965,0.078653159499057,0.254205097720488,0.0249618404514829,0.0662698567200211,"BC23270_D2"
"24x15",0.0128629915710305,0.182276835551022,0.0497122770713781,0.23722263513697,0.00739865659472462,0.186790839452244,0.282764409386028,0.0162546757598249,0.024716679476777,"BC23270_D2"
"12x15",0.0396798729841866,0.11576987014929,0.0194894221009593,0.491168741984784,0.00421495593553701,0.0687988415498054,0.200084841982097,0.0307443976741573,0.0300490556391847,"BC23270_D2"
"17x15",0.0389338439956518,0.108616844256999,0.0190301274725798,0.400605568780544,0.0180732050222606,0.0826685212954474,0.25975848245192,0.0514860035056324,0.0208274032189643,"BC23270_D2"
"15x15",0.0620433399231375,0.148769985376571,0.0302930507059016,0.380927231845254,0.00587707840924025,0.132281658713673,0.215663725159799,0.0145328109625764,0.00961111890384769,"BC23270_D2"
"25x15",0.019220639554767,0.121782747847565,0.0293437251722233,0.529734753734613,0.0057096487640054,0.118685947850029,0.115063800020402,0.0154179329172807,0.045040804139114,"BC23270_D2"
"13x15",0.0385615888883647,0.119445067390411,0.0340465576030584,0.420194361784107,0.00563046936034041,0.125215352304981,0.221697449265209,0.0181030079189636,0.0171061454845657,"BC23270_D2"
"14x15",0.0948795605903972,0.142026415199165,0.0342079721204593,0.255369257277937,0.016889297510402,0.0896206137589858,0.280604260842219,0.0476124673946355,0.0387901553057996,"BC23270_D2"
"21x16",0.0490826748504753,0.119283789725982,0.0149648167217039,0.485547590477668,0.00242829985744386,0.0823765342058187,0.221330739862448,0.0157362275603635,0.00924932673809755,"BC23270_D2"
"10x16",0.0636594641360958,0.0950348973570109,0.0689152877867068,0.213408715507436,0.0953850040583793,0.143484320489679,0.0321935010014881,0.038941675441166,0.248977134222038,"BC23270_D2"
"20x16",0.0969231386992222,0.169035686447192,0.00981243823392853,0.246041827627658,0.00280078611141464,0.100145774490366,0.352154723845689,0.014295970234711,0.00878965430981989,"BC23270_D2"
"22x16",0.043125327824795,0.128653590551706,0.0265808918392111,0.245361626929531,0.0050111915282509,0.0902612234366333,0.4160054955696,0.0333871339872998,0.0116135183329722,"BC23270_D2"
"11x16",0.0200959136921211,0.073179316975681,0.0129262374185291,0.469855749547257,0.0164755404665752,0.0856421411078015,0.195937839170113,0.0321952413926252,0.093692020229297,"BC23270_D2"
"18x16",0.0355672427812192,0.0752728651523709,0.0214298548025585,0.324278490151766,0.00160899439963686,0.0657916450256437,0.444020639260376,0.0289935597359113,0.00303670869051794,"BC23270_D2"
"19x16",0.0493964474560956,0.13326571238114,0.0257392563772515,0.282379198297489,0.00142946160338101,0.043051837758971,0.430166181573658,0.0311033268112,0.00346857774081366,"BC23270_D2"
"24x16",0.0454813192194205,0.122841111544344,0.0290899020088367,0.479764348527919,0.00185697536156411,0.0731467677617049,0.219719603104198,0.0155190578414219,0.0125809146305905,"BC23270_D2"
"16x16",0.0999916471818728,0.0841111047253771,0.0256494859811942,0.153342086540976,0.012604809899755,0.146454091893373,0.424906133695451,0.0369221389131832,0.0160185011688185,"BC23270_D2"
"26x16",0.0884844312483859,0.135820340205308,0.0125231015075685,0.427014455931821,0.0104727709696873,0.0934610929876088,0.196117547987861,0.00758880369728269,0.0285174554644771,"BC23270_D2"
"15x16",0.173488209795176,0.118767490995752,0.0253298557040279,0.154816444894404,0.0222691817094591,0.0562296495348074,0.388397651784785,0.0299861945729882,0.0307153210086008,"BC23270_D2"
"23x16",0.0974835525018899,0.155500739075646,0.0350864364099229,0.15021161231106,0.00289329508366368,0.0750161422147743,0.429408516807545,0.0403227285457084,0.0140769770497896,"BC23270_D2"
"13x16",0.101158211982799,0.156965082924465,0.0217513139300048,0.137455981736896,0.0275630636796116,0.0738270725240089,0.415584404569627,0.0476754468220554,0.0180194218305319,"BC23270_D2"
"12x16",0.0515702727533232,0.133906008208046,0.0213158426873205,0.338454931515911,0.00562127261399842,0.0737813309447682,0.314361652044521,0.0453398776956936,0.0156488115364186,"BC23270_D2"
"17x16",0.125066944332813,0.129029180128632,0.0259872226646674,0.237143279232964,0.0235475061132484,0.0566533137238925,0.286443723447122,0.0428082391367612,0.0733205912199011,"BC23270_D2"
"14x16",0.0729354864960067,0.113231419984582,0.0339186219634919,0.25260200264339,0.0160509312026157,0.0570179714372275,0.358712102675903,0.0607537944527037,0.0347776691440796,"BC23270_D2"
"25x16",0.0270245911147041,0.140671614874927,0.0141979772550671,0.450082745657074,0.0187027757861464,0.0739169167720361,0.117728290361936,0.0156077476362334,0.142067340541876,"BC23270_D2"
"20x17",0.0741407856047141,0.0869649637827398,0.0228508986854002,0.529919926040099,0.00276064944071746,0.0465441148233905,0.197486439279125,0.0202016354647571,0.0191305868790571,"BC23270_D2"
"12x17",0.0914902700174105,0.13450499281786,0.0298158010548856,0.265560048589677,0.0225176109448218,0.0679522165291271,0.268962989212329,0.0343700938105591,0.0848259770233309,"BC23270_D2"
"11x17",0.0354797979180836,0.0699584189626358,0.015158951843516,0.46475119561651,0.0293193441303012,0.0348627277476687,0.151607490993681,0.0679213518742283,0.130940720913375,"BC23270_D2"
"10x17",0.0189189435908341,0.0853815391801721,0.00691437137522083,0.754466865609151,0.00227809700713814,0.0604129709670652,0.0343543872205133,0.00310319936154872,0.0341696256883569,"BC23270_D2"
"27x17",0.0340042947252037,0.15393962854107,0.0242137971537265,0.443998248727454,0.00658836607966784,0.0837023108977429,0.232403620575452,0.0110959777676672,0.010053755532016,"BC23270_D2"
"22x17",0.0679137764968631,0.154643746558365,0.0625704290838003,0.298000745684093,0.00653812815339345,0.0413616036175997,0.343411157045356,0.01775604425133,0.00780436910919985,"BC23270_D2"
"16x17",0.0287185187989778,0.13095226928778,0.0136641241127732,0.525020380258579,0.00279227294700666,0.0438128173260608,0.23499206932562,0.0116956928948808,0.00835185504832205,"BC23270_D2"
"26x17",0.053480114753729,0.169452055469152,0.0185111536206895,0.376317070139619,0.00997867468417411,0.106757786909116,0.222976437868897,0.0168462276564706,0.025680478898153,"BC23270_D2"
"19x17",0.0470667144157631,0.0920928055136252,0.0315297179560049,0.229966235594247,0.00873716532149222,0.0414583679813266,0.489259510162887,0.0436462407468018,0.0162432423078518,"BC23270_D2"
"21x17",0.00106350390032259,0.00715108213114388,0.00433467058950668,0.966454466808025,8.62878913975779e-06,0.00430789626500236,0.0164084584660636,0.00019536288967524,7.59301611207394e-05,"BC23270_D2"
"18x17",0.0837959792955672,0.155808233777321,0.0140294915436152,0.1074522142057,0.0120846934630017,0.0880329716003175,0.45204672967238,0.0706100326552145,0.0161396537868826,"BC23270_D2"
"17x17",0.0520949910742274,0.137233307789117,0.0160523708259241,0.459571449069186,0.00705332138184988,0.073861018110509,0.201332389178304,0.0227392157969814,0.0300619367739007,"BC23270_D2"
"23x17",0.0785900484816565,0.13384265469261,0.0171061851919799,0.230818889106475,0.00956282137132316,0.0546523059135858,0.438126470227242,0.012672915771512,0.024627709243617,"BC23270_D2"
"15x17",0.111923012965885,0.116223434989398,0.0111393836211653,0.284300739717343,0.00477802725772289,0.042277088386765,0.366874469845967,0.0276961638633755,0.0347876793523772,"BC23270_D2"
"24x17",0.0580429770684385,0.159994910657176,0.0252737285141654,0.280214395605058,0.0151652472111498,0.0931499468378137,0.318021557325485,0.0272107614187601,0.022926475361953,"BC23270_D2"
"25x17",0.0490623263228976,0.133425415315938,0.0261877922240045,0.347859160211702,0.00454412460980187,0.115636429095598,0.285542439233128,0.0329934419498565,0.00474887103707316,"BC23270_D2"
"13x17",0.104408276395844,0.121617804897579,0.0402739222790885,0.300807857018381,0.00549235292767236,0.0304424474832551,0.34780034009621,0.0375933176340587,0.0115636812679109,"BC23270_D2"
"14x17",0.162896773513809,0.156624027446496,0.0864274339217871,0.128097048071934,0.00522311768358975,0.0800914298333423,0.342794550955724,0.0273034277520058,0.0105421908213118,"BC23270_D2"
"22x18",0.0303552351927182,0.205388478200263,0.013773628448946,0.404177910457188,0.00517422676892393,0.0801054536138446,0.236471204268504,0.0129923591234252,0.0115615039261864,"BC23270_D2"
"21x18",0.122746614267601,0.129402764042217,0.00585891855424127,0.35758677087131,0.00035093890966425,0.00974638697253816,0.353036925701261,0.0193061710066986,0.0019645096744686,"BC23270_D2"
"10x18",0.0246255152293878,0.0575801940824123,0.0194687906181122,0.774310607505919,0.00183547795280034,0.0242277412657517,0.0835532339614159,0.00476316487080559,0.00963527451339479,"BC23270_D2"
"11x18",0.0425736258133271,0.108812901599079,0.0302319469123811,0.280644460875864,0.0476353626564876,0.0796608631329728,0.285819915991846,0.079495650224013,0.0451252727940293,"BC23270_D2"
"27x18",0.0371257780556696,0.185424369452893,0.0105399105770518,0.388907213216347,0.0120497515112979,0.0603850240660723,0.25379499063081,0.0198596399628117,0.0319133225270466,"BC23270_D2"
"20x18",0.0932186481108869,0.136871139141773,0.0296113413788818,0.242856486432559,0.00640486061489722,0.0576951819162063,0.395696632308836,0.026443173788101,0.0112025363078582,"BC23270_D2"
"9x18",0.0240826085283593,0.086715875665981,0.0105004515392708,0.645379267759845,0.00516163973008551,0.0500608819498338,0.118181263868406,0.0366201978494066,0.0232978131088129,"BC23270_D2"
"16x18",0.159006504437208,0.129564237806175,0.0210729591210785,0.188493160903548,0.00944378507183692,0.0903034817626769,0.349002935546412,0.0330878615611952,0.0200250737898692,"BC23270_D2"
"19x18",0.119688217149255,0.124557440298417,0.0190394213513641,0.221972335108949,0.0103463039016771,0.0490309671872628,0.378645204278276,0.0411265132097651,0.0355935975150324,"BC23270_D2"
"26x18",0.0464166153380196,0.158035205649952,0.0129095715389097,0.405407518489079,0.0105733727508202,0.0524845553070113,0.257022925139532,0.0168364590932032,0.0403137766934729,"BC23270_D2"
"15x18",0.0502778034743515,0.167180711654055,0.0218586852473096,0.309968326531672,0.00339646259871306,0.0125744437062894,0.354765037277972,0.0490268191906753,0.0309517103189624,"BC23270_D2"
"17x18",0.0503032162018155,0.141374474579965,0.0135456913150971,0.395522004337259,0.00284721276014842,0.109747551598183,0.246477581057837,0.024830545890854,0.0153517222588417,"BC23270_D2"
"23x18",0.0329430871825367,0.148267221211848,0.0377134455232957,0.317374602249663,0.0142233939577857,0.062232568577125,0.328760808832448,0.0395429952979121,0.018941877167385,"BC23270_D2"
"14x18",0.0833347804898488,0.0966973556419287,0.0323233440119831,0.261955555786446,0.0170521466741174,0.0251665346810802,0.359287156845457,0.084395211184071,0.039787914685068,"BC23270_D2"
"12x18",0.0730465126586484,0.089933166678012,0.00891519540033041,0.466946388877581,0.0132637788074152,0.0472377964901905,0.196356129374712,0.0350987025931097,0.0692023291200006,"BC23270_D2"
"13x18",0.0943549044409697,0.148587148125097,0.0132373858037705,0.326865755332559,0.00690133930549512,0.0439760473926501,0.314605916122214,0.0362053125892572,0.0152661908879874,"BC23270_D2"
"24x18",0.00502708086261869,0.102903795972177,0.00388710973207578,0.772969455735268,0.000324875284405982,0.0371129864410233,0.0753694343407142,0.00132897366580452,0.00107628796591186,"BC23270_D2"
"25x18",0.0981235955362266,0.133382193111158,0.0141621072910108,0.338591600619524,0.00782449383359535,0.0599766503624387,0.33029623503491,0.00699350234061433,0.010649621870522,"BC23270_D2"
"21x19",0.0390237499596489,0.141666396121506,0.0234888017431204,0.430960346430765,0.0046703474450687,0.0545417815051536,0.269955470932302,0.0154879543919563,0.0202051514704788,"BC23270_D2"
"22x19",0.0480379039388845,0.161111072052065,0.00616703016411729,0.537984096041377,0.00686730957851792,0.0714738400479734,0.147344570342835,0.0066298000178631,0.0143843778163681,"BC23270_D2"
"10x19",0.0618880717616525,0.0469057869306558,0.0182607671650578,0.321793828205893,0.0968154620289028,0.0755033551088322,0.106912229537553,0.0347859113609533,0.2371345879005,"BC23270_D2"
"9x19",0.0335440416451947,0.0781296752607856,0.013924378494067,0.511056346930514,0.0255139837832976,0.0517369200062781,0.0750238521904731,0.0202838453475534,0.190786956341837,"BC23270_D2"
"11x19",0.0516747897197044,0.0539364375100425,0.0219292645189954,0.381819702598933,0.0395915532021522,0.0639822157209426,0.166717372525813,0.0377783108014351,0.182570353401982,"BC23270_D2"
"8x19",0.050145317853261,0.0834776869250606,0.00715890396058356,0.552691266618935,0.0144513920377199,0.0316159192880552,0.102423085149855,0.0480056928576421,0.110030735308887,"BC23270_D2"
"16x19",0.0539483243692809,0.113715853203798,0.0149019766180091,0.426689369629331,0.00528221455747635,0.0967404162372839,0.25789591015393,0.0149513172277841,0.0158746180031059,"BC23270_D2"
"27x19",0.0996922543290925,0.109223868553415,0.138806095887253,0.402977752941486,0.00132104512905758,0.097891234564926,0.144533282276552,0.00170314235311784,0.00385132396510006,"BC23270_D2"
"28x19",0.0623096851208131,0.194590242748761,0.0175234825111209,0.187085519479877,0.00308661079109923,0.132491358806262,0.382621907992806,0.0152255523191745,0.00506564023008668,"BC23270_D2"
"12x19",0.0440723161391431,0.0965960674232115,0.0187788705508113,0.522679093389445,0.0121439395863708,0.0390897839428471,0.198017511264852,0.0133820867452085,0.0552403309581103,"BC23270_D2"
"18x19",0.0457854936751752,0.106414924004681,0.0510859818078908,0.429144211184311,0.00279083297702981,0.0509090543671629,0.299521464620449,0.0103719093879667,0.00397612797533282,"BC23270_D2"
"19x19",0.0767324631993807,0.140241905384607,0.0095994759988327,0.389835953643602,0.00444783025103864,0.103463515692949,0.252552361174872,0.0120299312719769,0.011096563382741,"BC23270_D2"
"20x19",0.0259363550266788,0.197511888559278,0.0765552150822353,0.187680276104833,0.00395326733909604,0.159165775043662,0.31910043615627,0.0171342368698907,0.0129625498180549,"BC23270_D2"
"24x19",0.00905215238531685,0.131169952485089,0.0256376656037067,0.636806405507329,0.000926046946269521,0.0795436715314656,0.11087784616971,0.0032821109469943,0.00270414842411864,"BC23270_D2"
"17x19",0.0435110589368225,0.122154504772757,0.00340706136688388,0.628316254527904,0.00208330706483859,0.0317379635457538,0.152196180599311,0.00615468020070539,0.0104389889850238,"BC23270_D2"
"23x19",0.0379856457603991,0.120648295975428,0.00644552694043441,0.574316172685292,0.0015693952632427,0.117741706740784,0.112109090789633,0.0113887538636044,0.0177954119811831,"BC23270_D2"
"26x19",0.0425842669295454,0.201574146514193,0.0135770423627751,0.362393260757782,0.000801724980098367,0.122928678453153,0.248846215245024,0.00557344775250509,0.00172121700492252,"BC23270_D2"
"13x19",0.0978750240916195,0.116900325054885,0.0152214910708318,0.510396978824173,0.00547988931302514,0.0239538659297692,0.184323276765173,0.0257698871920828,0.0200792617584403,"BC23270_D2"
"15x19",0.0758824929195662,0.115776652264184,0.0115963708233292,0.559855123955299,0.00373260946093826,0.0300842221737214,0.157602088721037,0.0271735801907239,0.0182968594912008,"BC23270_D2"
"25x19",0.111845719400238,0.146222850321564,0.0153028377231329,0.43070637164391,0.00333290941331152,0.066819880194351,0.204146861528097,0.00601900505228395,0.0156035647231118,"BC23270_D2"
"14x19",0.118145709055517,0.0933939636562778,0.00975502124715958,0.402252890874732,0.00511016238274753,0.0452909309683036,0.25457116513018,0.0339388545807064,0.0375413021043754,"BC23270_D2"
"21x20",0.0201391361267891,0.1425698850807,0.0133484190573233,0.501557505658021,0.00301355887632114,0.0735086908612227,0.210568157224374,0.012937144910395,0.0223575022048539,"BC23270_D2"
"22x20",0.0443452824664066,0.111921019266426,0.00573566023371183,0.519399629551856,0.00160274396495297,0.162195700115676,0.132775317207443,0.0130581062786613,0.008966540914866,"BC23270_D2"
"28x20",0.101671813642292,0.121948456294823,0.00669633021945445,0.454104183534232,0.000775852019236655,0.124557073338748,0.185139696438835,0.00390953803517229,0.00119705647720648,"BC23270_D2"
"10x20",0.0464694167080351,0.0338347791940963,0.00765627951322453,0.160759114251353,0.206103889781717,0.0494001303855219,0.0536243223304487,0.0299662751451255,0.412185792690478,"BC23270_D2"
"9x20",0.0207277610400728,0.0412300177914924,0.00804505587240538,0.409891029079006,0.0484710651241007,0.095144605416853,0.0713189875482024,0.0430243223596123,0.262147155768255,"BC23270_D2"
"20x20",0.0878354552356784,0.148453251970574,0.00759373775752509,0.430832724453009,0.00161926959262965,0.0763010396069415,0.222962138025907,0.0153836311602104,0.00901875219752484,"BC23270_D2"
"11x20",0.08990846572176,0.0780459200610466,0.0159544017450691,0.290147704609218,0.0517323822886592,0.0923008388463556,0.179911598346414,0.0368970803475503,0.165101608033927,"BC23270_D2"
"26x20",0.0857665005558828,0.152262501565343,0.0329446249250085,0.385248844979928,0.0102693975784718,0.0627849924743501,0.233777407183963,0.0111403515636652,0.0258053791733869,"BC23270_D2"
"16x20",0.0413768978671623,0.200698908214714,0.00387996573718466,0.411149738855777,0.0020276779076747,0.104948925418801,0.206349422918988,0.0226522042774904,0.00691625880220849,"BC23270_D2"
"15x20",0.0449181293749573,0.13213063499409,0.0187871212308913,0.453348661898192,0.00319780288855431,0.077007469153946,0.222701947256269,0.0269625209433138,0.0209457122597864,"BC23270_D2"
"23x20",0.0379887335754866,0.105428693205949,0.0110856417749756,0.565554267762192,0.00449421016866525,0.115424788680195,0.117097984366348,0.0242560915178989,0.0186695889482902,"BC23270_D2"
"24x20",0.021073191972016,0.095642580832839,0.00552932156249617,0.596096828575326,0.000999487734483501,0.136420204864839,0.120755990263054,0.00973768091243725,0.0137447132825099,"BC23270_D2"
"19x20",0.0270079839038339,0.123594897993627,0.0213331902743452,0.622540923971546,0.00179052894736362,0.037205770997177,0.133102206856127,0.0105577696971457,0.0228667273588345,"BC23270_D2"
"27x20",0.072083850205052,0.0848367761542185,0.0423451061025694,0.477748824738525,0.00237560508445702,0.102198465858085,0.185372332878155,0.0103420494128791,0.0226969895660586,"BC23270_D2"
"8x20",0.0742621759190679,0.0483900968634062,0.0200323543837852,0.374451131150194,0.0424146245804347,0.0218617210374581,0.0769532250342321,0.036447662010762,0.30518700902066,"BC23270_D2"
"18x20",0.0110978705579245,0.0939985828223423,0.00439531620206616,0.733467297535153,0.00263611578017992,0.0253330167891922,0.0932494174816665,0.017111678661987,0.0187107041694887,"BC23270_D2"
"25x20",0.0737481543557974,0.119183477488592,0.02913371873567,0.474654995698383,0.0322601574517957,0.0896688002195219,0.101365820998411,0.033840065990475,0.0461448090613535,"BC23270_D2"
"12x20",0.0416986031939345,0.076810987532239,0.0174912749389264,0.54795512669139,0.00688592546183353,0.0644326539080249,0.206424352234805,0.0181939544861256,0.0201071215527216,"BC23270_D2"
"13x20",0.0983312256068515,0.136646238087952,0.0227842086790368,0.300406889442604,0.0114076249573318,0.0792054149481302,0.296666837014977,0.0273353941961493,0.0272161670669681,"BC23270_D2"
"17x20",0.0518451980561919,0.0859600354062921,0.0241962380100169,0.683238629725426,0.00121821251393223,0.0277840062804545,0.113215400115019,0.00320739304830696,0.00933488684436042,"BC23270_D2"
"14x20",0.0504482106549035,0.107851698897175,0.0163016888665993,0.495769065421545,0.00671013268233915,0.0375386389467354,0.262143864104181,0.0139541037550071,0.00928259667151464,"BC23270_D2"
"29x21",0.00846028611132076,0.094282008682934,0.00174517017852235,0.731906035801329,0.0012140909147149,0.0626607477488624,0.0834882263016544,0.0027873859694328,0.0134560482912297,"BC23270_D2"
"21x21",0.0419061023956125,0.152158997189181,0.0136003622929555,0.383153110050191,0.00441885104835604,0.108606544357902,0.266166480527474,0.0187571432617928,0.0112324088765355,"BC23270_D2"
"22x21",0.0218746544279794,0.211378782914557,0.00840218461261121,0.348716296728231,0.00208874746686425,0.154751928858687,0.229524598107716,0.00504253935554425,0.0182202675278099,"BC23270_D2"
"27x21",0.0405942290953848,0.0590339228285217,0.00988135178216778,0.386748222417743,0.122903847424317,0.0796674572670106,0.0621645453318149,0.0306060322961384,0.208400391556902,"BC23270_D2"
"19x21",0.0613215450320899,0.0987379315635006,0.0169296595742382,0.563138102676185,0.00475279956122683,0.0361364005625609,0.195511899840121,0.0096833121270381,0.0137883490630394,"BC23270_D2"
"28x21",0.0490449718604479,0.137364862621597,0.0152376234948139,0.46029816058349,0.00869296287869654,0.113666434463546,0.179331018678584,0.0173940631515084,0.0189699022673163,"BC23270_D2"
"16x21",0.0328320655543661,0.142677892008427,0.00877511358084022,0.57469335703358,0.00364957481243821,0.0649192137962352,0.151462910335082,0.0118788271292102,0.00911104574982119,"BC23270_D2"
"20x21",0.013930679973589,0.158119464833743,0.0318413972081069,0.454950725448064,0.00205143404836081,0.106571081263347,0.195988349029073,0.00933307394697454,0.0272137942487429,"BC23270_D2"
"9x21",0.0860132489573777,0.0744685554746473,0.0174221369667124,0.328961370219994,0.0697384949821422,0.0615104584080532,0.114877937131336,0.0517164661042186,0.195291331755519,"BC23270_D2"
"10x21",0.0969533266978429,0.0839697160255684,0.023996157147139,0.196555746913982,0.103570223118816,0.0642541149210705,0.176641534306033,0.0468913724531618,0.207167808416387,"BC23270_D2"
"26x21",0.0230977566751872,0.153274456600358,0.0202019621337006,0.518247426891707,0.0102218212013884,0.130407571360165,0.114892448906347,0.00605457869728926,0.0236019775338591,"BC23270_D2"
