"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"11x18",0.000572081740594202,0.0182914241941067,0.00111418279356406,2.15001806576099e-05,0.000182742808146154,0.00902362444552844,0.000219967199809433,0.962781390133527,0.00779308650406635
"29x18",0.0211250618262557,0.0794690836277032,0.0167785365452294,0.000788981977601604,0.00344323642166038,0.0886897684988749,0.00171464624099701,0.658045434021797,0.129945250839881
"16x18",0.0025138568637513,0.0672618943112584,0.0028059149299253,0.000109317313561696,0.000258811461248123,0.0120949008131375,0.000880839871949052,0.866960125583703,0.0471143388514658
"28x18",0.0259425999735134,0.0749162885169892,0.0341225953693942,0.000380285249658486,0.0028931094295653,0.054227772752511,0.00201302750387687,0.553694075014601,0.251810246189891
"21x18",0.00302860580237234,0.20328411575515,0.00174464439382068,1.05514161931818e-05,0.000297125584324708,0.067508294452029,9.93627095250396e-06,0.717167018744444,0.00694970758071369
"26x18",0.00376657783532669,0.116525415150898,0.00178712498158653,1.52076637852855e-06,1.01565812185652e-05,0.0318151525250374,0.000616267878927574,0.810492754024612,0.0349850302560144
"10x18",6.1766262736853e-05,0.000657318252253887,4.80581877722097e-05,2.06311171655381e-06,1.2403641957166e-05,0.00180869241045021,1.40478340289495e-06,0.997124825272217,0.000283468077493171
"19x18",0.0184439340919198,0.0578445545695743,0.0093847160946596,0.000989636477606951,0.00391081028213993,0.026238938805122,0.00569797364869767,0.761289678451463,0.116199757578816
"25x18",0.0247819745894129,0.099282624741152,0.0254354183729194,0.000185148537287701,0.00113004638675051,0.052759333672388,0.00311126199955919,0.58433925502257,0.208974936677961
"27x18",0.0290685947389917,0.0630330373075553,0.00614837560430402,0.000253407450657975,0.000627598298603162,0.0605366706141193,0.000666541784633836,0.722248473522572,0.117417300678563
"17x18",0.00323370665834379,0.0367101979835355,0.00343443924028353,7.41911098182576e-06,2.70270932815449e-05,0.0227183092589275,7.97555391633371e-05,0.909762132343704,0.0240270127717794
"20x18",0.00537836723831161,0.0828545060744525,0.0174445061793957,0.000171360468223532,0.00122717528981185,0.0741328457241863,0.00274240319092574,0.68664901015337,0.129399825681323
"23x18",0.019400427136884,0.1216915011327,0.0159732623197699,0.00220877852697996,0.00692460849638067,0.0637900104686943,0.00338249483947739,0.672109489576895,0.0945194275022181
"14x18",0.012913295540852,0.0536325513563781,0.00451010593009408,1.82453449538694e-05,0.000109453695691761,0.0398645280107537,0.000739479510997065,0.746988364552421,0.141223976057858
"24x18",0.00561922619023184,0.114617482154121,0.00157438080950923,1.00203666874646e-05,5.24842542384221e-05,0.0231146785313725,0.000346884401432246,0.790614086312917,0.0640507569794904
"8x18",0.00109932422400866,0.0099163714684983,0.00063447673516147,4.25804201252979e-05,8.17044331491137e-05,0.00907548314742719,9.17070071123785e-05,0.97089492233637,0.00816343022814708
"9x18",0.000207059605955998,0.0198897129481907,0.000197939250433756,1.79863536906843e-05,4.7701459603708e-05,0.00631997085133623,1.38255860932156e-05,0.971524319635945,0.0017814843087509
"6x18",0.00607387103269956,0.0724612386115667,0.00245227287285184,0.000272758692088167,0.000823260622513751,0.0406182803300508,0.000165908820042601,0.864840037292561,0.0122923717256257
"5x18",0.000419564523873511,0.0183365352632719,0.000438802548861051,0.000125112028358164,0.000257306228172861,0.0239594436823789,0.000276056192339638,0.885415365776053,0.070771813756691
"12x18",0.00453141081884013,0.047402550881271,0.00266724406113003,0.000578133450986399,0.000951820294291094,0.0268621760797141,0.000142796900611888,0.906805785922796,0.010058081590359
"15x18",0.00420266945918919,0.050686769863025,0.00285549912088918,4.18015837275197e-05,0.000388391870930267,0.0203033761691919,0.000156546127558377,0.874323563293973,0.0470413825115154
"13x18",0.0184649904031536,0.0499138986682055,0.00450282221279574,0.000359952330954768,0.00119414164842927,0.0359008483684397,0.000542670649083391,0.842284675849755,0.0468359998691831
