"","Endothelial","CAFs","PVL","Plasmablasts","T-cells","Myeloid","Cancer Epithelial","Normal Epithelial","B-cells"
"21x12",0.0044905007680613,0.286132251430389,0.18136365056006,0.17578251657907,0.000346592328091662,0.0327619700260258,0.316336467005739,0.00214766361407475,0.000638387688488101
"8x12",0.00816645986739881,0.325259105429906,0.0237931400360196,0.189401493272812,0.000511586120940361,0.0750970389987138,0.369621133725293,0.00766096466444453,0.000489077884471399
"19x12",0.000291109372230217,0.221126801185984,0.0980117503936431,0.258305480561827,2.49653728920572e-05,0.0310951300319318,0.391091631599253,4.30423798124211e-05,1.00891024260401e-05
"9x12",0.00188720831154619,0.420970958490312,0.0219942601581001,0.140497301015138,0.000704023617119789,0.0981230059146781,0.313606581632179,0.0016425180181737,0.000574142842754067
"11x12",0.00091426082621059,0.137823365802254,0.0749624209412094,0.424744005728023,0.00045678199180101,0.0321461306660394,0.326167366315041,0.00230190529488301,0.000483762434539234
"16x12",0.0011804892876812,0.349025487483305,0.0068915482715747,0.0597924280562095,0.000184959747528463,0.0285930515775872,0.553627417760575,0.000579170518084325,0.000125447297454773
"18x12",0.010874518524771,0.27878989662038,0.119846504091118,0.0515220480287909,0.000366397814806136,0.0671504589363948,0.470325683828177,0.000950400161086243,0.000174091994476474
"14x12",0.00348359348555249,0.237806608040151,0.0285420077646935,0.304147703835281,0.000609776384953206,0.112670793813164,0.30904198641778,0.00306633301134294,0.000631197247082388
"17x12",0.000962505101052451,0.407519537341134,0.0205961587480586,0.0513626885960754,1.06471474952976e-05,0.071605522174724,0.447825648385073,0.000113986021876384,3.30648451144437e-06
"10x12",0.00444491729179048,0.416955180223123,0.0230218221951326,0.0110263511202201,0.000100185367545259,0.0669469179814064,0.474314268646237,0.00300689631906163,0.000183460855484341
"12x12",0.00147721871641434,0.260463849470042,0.0144224265793038,0.268904456966098,0.0010473879309323,0.0730564513246053,0.379256052043896,0.0008483293560188,0.000523827612689082
"15x12",0.00719525493524774,0.212210140317433,0.00591760511726207,0.317895285422642,0.000362279629654012,0.116848659325641,0.338306028409033,0.00104702036843906,0.00021772647464722
"13x12",0.000677826406535332,0.220408100188382,0.00763147149435128,0.197764404545262,0.000208131797072602,0.0879159004313898,0.483619442122551,0.00172464966899379,5.00733454623223e-05
"22x13",0.0053316859343445,0.549899473073767,0.0166826431483034,0.197574282006751,0.000103565988707181,0.0176175623196085,0.173787622310437,0.0389062868125547,9.68784055269633e-05
"21x13",0.00326947557508588,0.412760573438569,0.0600660320268374,0.215159101454361,7.38218164310559e-05,0.123380957834657,0.184010498802006,0.00118114439865809,9.83946533943374e-05
"11x13",0.00937006172161584,0.281419572312331,0.0172820190928481,0.107512315080536,0.00228958023372884,0.170085169480015,0.406776546973878,0.00339661091564926,0.00186812418939685
"9x13",0.00490934702364001,0.289551508615223,0.00493709463617174,0.332386623168282,0.000585817814950177,0.0656484483455222,0.300855191716348,0.000986614785638536,0.000139353894224093
"16x13",0.00376238166213127,0.428912739507333,0.0202368951684596,0.154772946613829,0.00122107498457348,0.123982192265201,0.265592696257394,0.000793320055787431,0.000725753485291058
"17x13",0.0131330484749563,0.295824932790299,0.148946164096459,0.277473710180702,0.000242508620960628,0.0471290317366591,0.216262661972619,0.000598382368558738,0.000389559758785032
"15x13",0.000950667746441413,0.424131833103855,0.00996306341702483,0.0724779913866397,0.00013861237338518,0.104796375869335,0.386045973456697,0.00135677707868804,0.000138705567933595
"10x13",0.00448254318008798,0.275317657258111,0.0442532030316985,0.275133231782761,0.00104532804185506,0.0668701024423344,0.318783971623615,0.0112373348158525,0.00287662782368521
"14x13",0.00367801691017351,0.387490309895027,0.0625262175405606,0.151829064723163,0.000309785769336964,0.11705405580864,0.27480584750853,0.00199577696226633,0.000310924882303483
"20x13",0.00352948329659532,0.402948051032202,0.00467345921215397,0.22367227967576,0.000329496794501889,0.0700766011711541,0.294313130182409,0.000313901877935934,0.000143596757288441
"18x13",0.00278099637220041,0.299657708696615,0.0204191621570185,0.124670410398424,0.000458391215253583,0.0465661850068738,0.50151904103991,0.00309255607963857,0.000835549034065344
"19x13",0.0020590083443922,0.405701618457067,0.00839874681245874,0.179431017326667,0.000361323367432684,0.0918670673098788,0.311192691370211,0.000758229276930812,0.000230297734961326
"8x13",0.00129730636304208,0.19275593075772,0.0380293665662213,0.218253273808152,0.000255203428667293,0.00537311683454118,0.541365891661914,0.00218443841287256,0.000485472166870498
"12x13",0.0049666012430378,0.464443045188021,0.0182797805792978,0.13328849590249,0.0015883792385546,0.113260499617494,0.262881731507323,0.000703914600539901,0.00058755212324195
"13x13",0.00210119478282416,0.293877451991253,0.0616997769437454,0.102862620626935,0.000701460252952027,0.0598633429815528,0.474301568280364,0.00419499224850677,0.000397591891866298
"9x14",0.0132443086679791,0.350053564105642,0.019128466434713,0.140931983353681,0.0016617200528811,0.0898201719143847,0.381467948045534,0.00249696654488889,0.00119487088029765
"22x14",0.00851698484769188,0.459996049495309,0.178299927660816,0.0772187568911377,0.000420509973965371,0.0458270383931603,0.224997496330964,0.00451341145603673,0.000209824950918556
"11x14",0.0183128527059055,0.470873595167914,0.0124265967189535,0.115807357325696,2.61670470026791e-05,0.0665004437077447,0.315574316132762,0.000452857445434003,2.58137485876099e-05
"20x14",0.00161494699410271,0.193747741250604,0.00256814771849782,0.736582927190438,6.28582987295226e-06,0.0113947368490439,0.0540329633174266,4.48836232099785e-05,7.3672268035038e-06
"10x14",0.0057257352166556,0.217663645898014,0.0963376233254725,0.156293603396282,0.000914079466617825,0.0759622322136545,0.444463992164054,0.00230881700072225,0.000330271318527587
"21x14",0.00209674520398682,0.271815512346829,0.041228784042762,0.433763885153429,0.000308595657501732,0.0559974716638514,0.193281613310974,0.00102766662726124,0.000479725993404124
"16x14",0.00113397942425524,0.355192580376971,0.026662892644882,0.266405518344584,3.48056080456862e-05,0.0947005117784417,0.255712258381315,0.000144270567383216,1.31828741217114e-05
"24x14",0.00166222700657068,0.49551850860546,0.00559257941162173,0.0201672490529975,0.000702456133943172,0.0577087368775263,0.417450381024132,0.000903212139647028,0.000294649748101287
"19x14",0.00240709653367679,0.52084463811252,0.0168402150383762,0.0578598479708172,6.31771057736799e-05,0.00475881229841088,0.396826603060748,0.000349859942109582,4.97499375675348e-05
"15x14",0.00259085554423205,0.297773183407171,0.018441673963533,0.266710234710846,0.000911955404192272,0.0545883971725414,0.356628718572753,0.00181432549216302,0.000540655732568019
"18x14",0.00425002110914823,0.52466473869449,0.0197088743871407,0.0570403817331327,0.000253344782637939,0.0646655549096172,0.328926197826694,0.000408947917216505,8.19386399230443e-05
"7x14",0.0115761466081209,0.157565142577262,0.0349349992668783,0.032120857008354,0.00406099243036838,0.103603186043929,0.645813857561837,0.0060429512792466,0.00428186722400401
"17x14",0.00110706122590971,0.497677812376933,0.0267686952944376,0.0159370273955705,0.000496761513537756,0.0951753359405353,0.361558179244985,0.000999084855508596,0.000280042152583265
"14x14",0.00456782894130277,0.38176311840053,0.0645264165917754,0.0535138846206978,0.0007787813360805,0.162195488455626,0.329165831202929,0.00281934557234474,0.000669304878714196
"13x14",0.00284723314759834,0.347173196270879,0.0156968294039837,0.127399095483008,0.000674768427667113,0.0779377890533802,0.427045118256165,0.000966215725948765,0.000259754231370065
"8x14",0.00436146611096624,0.237768906568426,0.0431535477256118,0.29061856988246,0.00108230273993652,0.0517500635887674,0.368012628315083,0.00102716074008188,0.00222535432866696
"23x14",0.000460688698705628,0.641864498932532,0.075068640720719,0.126414550362719,8.69703989613693e-06,0.0154615579424372,0.139457500949355,0.00124452209836509,1.93432552704044e-05
"22x15",0.000545366794068232,0.424048436184498,0.0253748187158625,0.34848055186895,1.31753747448269e-05,0.00938055372336813,0.190454026197942,0.00161738945619924,8.56816843677252e-05
"10x15",0.00567426679223537,0.372758691825577,0.0208973158254806,0.233033040251154,0.00222481477500144,0.0843421476535362,0.269535168969436,0.00717952710216978,0.0043550268054094
"9x15",0.0157323344772435,0.35078810810721,0.0514062097864946,0.1491935151375,0.00189389829562439,0.0287193534999376,0.399418205271878,0.00164366322835364,0.00120471219575889
"25x15",0.00194241275027029,0.527828206007434,0.0243050007909751,0.0685144366994745,0.00017139171845925,0.0475626267300996,0.32859188026678,0.000915539355514394,0.00016850568099345
"15x15",0.00433862513547567,0.262473562939042,0.0266120584512815,0.224889162239446,0.000224079711260099,0.104336529718646,0.3755582947847,0.00145687175466575,0.000110815265482564
"11x15",0.0124943574634633,0.498987534680307,0.030272639898024,0.0531670030712162,0.000824670188164478,0.142109996064199,0.260905085804944,0.000823669799217988,0.000415043030463401
"21x15",0.00651041584895744,0.272553814239341,0.0161058872678913,0.228266570620828,0.000632441989623797,0.0473441527102253,0.428048271292496,0.000420052219498872,0.000118393811137682
"20x15",0.000701590105829655,0.378694481039229,0.0543883724887232,0.152491555123584,3.14247426306622e-05,0.0853546912072094,0.32814453298204,0.000183394098671745,9.95821208243222e-06
"23x15",0.00329832833502685,0.355005000752559,0.0365503319606724,0.403839143280333,0.000312455852398684,0.0473520904310597,0.151167974844307,0.0019052381725509,0.000569436371093004
"16x15",0.00380884736512043,0.399341483947275,0.0594739619132331,0.126509293635084,0.00181691078337977,0.0647535524190637,0.341314292976186,0.00176236701025105,0.00121928995040714
"24x15",0.00116509606663847,0.2378584884409,0.0446477501840412,0.563369979064858,5.56785445767086e-05,0.0869703278590149,0.0654551829498371,0.000444824710194229,3.26721799393847e-05
"17x15",0.00108837555244655,0.360169988653935,0.0938220703681422,0.177508727532831,2.50847601917953e-05,0.0133516686508505,0.353521191164165,0.00049375403448055,1.91392829576321e-05
"18x15",0.00131158701966079,0.234414467711142,0.0865606665545108,0.158335328270137,3.85198107886159e-05,0.0419495848253335,0.476808154435743,0.000558580213094773,2.311115959035e-05
"19x15",0.00125620977031777,0.22361060177274,0.0152051733014867,0.506008270168177,2.60227493732555e-05,0.0307721184503618,0.222476723044549,0.00056055520063364,8.43255423615349e-05
"7x15",0.00771951824007796,0.142426425146249,0.129636395055924,0.0564308415842214,0.00140903209840575,0.0804654060742993,0.580455782453547,0.000665851453785134,0.000790747893490129
"14x15",0.00200273724541323,0.242335567356137,0.0193764025316349,0.395670272850455,0.000641171850135061,0.0596598842529739,0.278075960688428,0.00179700282304344,0.000441000401779932
"12x15",0.00476406467957683,0.236597529422342,0.0762915367711636,0.0532359959117992,0.00100411033892384,0.115409348975823,0.510452876073282,0.0015488084663213,0.000695729360768079
"13x15",0.01020199149585,0.362822010784261,0.0542137878029945,0.18202728026478,0.00131074561473039,0.069940170316473,0.317008903661457,0.0019068165617796,0.000568293497674259
