"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"13x7",0.00834753068290749,0.0330844230736926,0.00340412935985531,0.000302803449778154,0.00109975804041941,0.0263433567840774,0.00155994395370385,0.906642324090529,0.0192157305650366
"7x8",0.00456106876591117,0.0124183154410715,0.00249061060943777,0.000853620668020346,0.00232648750227346,0.0172379191386124,0.00131701553999928,0.949497530003088,0.00929743233158603
"11x8",0.00246143053861408,0.00980343013083607,0.00234696438936993,0.000219909204477574,0.000996043171802358,0.0226915390969573,0.000572626837689233,0.943220304974838,0.0176877516554154
"8x8",0.001782997189391,0.00806137443568618,0.00146041533714667,0.000277540435921487,0.00102635103895352,0.0121867861028313,0.000916499770520095,0.970086234973365,0.00420180071618478
"9x8",0.0121159135135608,0.0227449081524176,0.00894377579666698,0.00180277448467128,0.0060340529982586,0.0455587074823381,0.00428347700990675,0.846844496333422,0.0516718942287584
"10x8",0.0101332455097335,0.0141757492591371,0.00378956850411542,0.000444447803815823,0.00161673901788338,0.0223411624729885,0.00404792217373645,0.894069006901023,0.0493821583575671
"13x8",0.00592506057393214,0.0108359362914149,0.00165995330189388,0.000138574811731299,0.000677519013664791,0.0116196553483912,0.00124043598724638,0.875032675569069,0.0928701891026567
"14x8",0.00414105121665699,0.0105745994710582,0.00245628352428736,0.00016066981922015,0.00120412424135656,0.0231060410274212,0.00421101532859972,0.836841285567001,0.117304929804399
"12x8",0.00736032249471551,0.0209135031639264,0.00685670658777123,0.000318267277606307,0.00144377318575197,0.0248843101039132,0.00333681166886318,0.901856022656997,0.033030282860455
"16x9",0.00432675765452552,0.00899609714260298,0.00644603137507158,0.00023433962329949,0.000517204148388227,0.016774101113667,0.0016505418384957,0.896020121993011,0.0650348051109383
"9x9",0.0044078405362934,0.0138682619422888,0.00393850321553305,0.00057539033352258,0.00165912890641031,0.0283915920073218,0.000450774882893997,0.944011355502417,0.00269715267331923
"11x9",0.00092982226936221,0.00346873675306251,0.000366945434346732,5.10077758027374e-05,0.000285888565797615,0.00254705367375786,0.000165021538913998,0.991654177898837,0.000531346090119737
"15x9",8.41610570568456e-05,0.00151061013810938,9.5775473030698e-05,5.9523307200109e-06,8.40076608568386e-06,8.11330561056127e-05,4.69220383679579e-06,0.99817452503888,3.4749936174544e-05
"8x9",0.00495442141245361,0.0156387247791016,0.00370248246636495,0.00189549507015392,0.00274653451410282,0.0243597520409622,0.00374635081567247,0.934653722303809,0.00830251659737974
"7x9",0.00185859713973942,0.0112856968414156,0.00213119351026913,0.000363019283469982,0.000814733310199687,0.019496080054561,0.000759178245098123,0.961500313360387,0.00179118825486037
"6x9",0.00552357649159674,0.0143465899991279,0.00351120035221206,0.000659344928639118,0.00107222598503897,0.0216021030641343,0.00110112117528789,0.93986231865343,0.0123215193505334
"10x9",0.00360836486268062,0.0134119008311344,0.0033063041964571,0.000452171796484684,0.00135691196839597,0.0137652895774261,0.00135748407680657,0.952751388947893,0.0099901837427218
"14x9",0.00586228204187458,0.0046211527282192,0.0032303434108474,0.000188456224084253,0.000753406436629927,0.0112380546379451,0.00440682385677325,0.867105870445429,0.102593610218198
"13x9",0.00993402113189403,0.00811989805086864,0.00356371110592903,0.000535555605139413,0.00160990325682262,0.0259481636337519,0.00356683243055851,0.828839967658399,0.117881947126637
"12x9",0.00081338905405506,0.0015841417234465,0.000386714143513578,6.99075264825141e-05,0.000247979618324062,0.00442322065540509,7.86286679451727e-05,0.992170209068356,0.000225809542471614
"10x10",0.00363548943676535,0.00772019211838922,0.00256516663676822,0.000137679880599947,0.0004311087044635,0.018860812533821,0.0012402660453941,0.918370668746383,0.0470386158974159
"18x10",0.00818190053537584,0.0107863764797719,0.00979671352189321,0.000398694954955085,0.00279323148279707,0.0282349723602944,0.00362917432197648,0.885793183754673,0.0503857525882631
"8x10",0.00107244653429975,0.00905483960501781,0.00174111712483597,0.000225006010372506,0.000627832914834884,0.00920439441257128,0.00034863653862222,0.974746801735265,0.00297892512418091
"17x10",0.00178861618430594,0.00403258831685574,0.00119193799575106,0.000141835146948081,0.00041754329754432,0.00826502396054416,0.000572137849555415,0.962826044088717,0.0207642731597788
"16x10",0.00466390956071318,0.00717696023148315,0.00284166703039551,9.0881259309996e-05,0.00101570172588828,0.0207053412009024,0.000745802867643419,0.891023704186616,0.0717360319370477
"11x10",0.00166075139344357,0.00389093903325225,0.000829667245488129,8.70685999258154e-05,0.00023011247590734,0.00468953999541432,7.03709925974096e-05,0.986528733240101,0.00201281702387009
"5x10",0.00280717212718849,0.00997707062592224,0.00317337636180854,0.000218576064665543,0.000394297715687207,0.0106223104758323,0.00045376742231209,0.969190053444004,0.00316337576257972
"6x10",0.00504608798897946,0.0156284479870967,0.00434854933975645,0.000605983825751564,0.00137814292851304,0.0136126465284213,0.00113176179693749,0.951063271736064,0.00718510786847966
"9x10",0.00174423748867298,0.0119228908449713,0.00211049793714485,0.000153031863682411,0.00052302180133649,0.0201403416396192,0.000288121942263404,0.961064284628156,0.00205357185415316
"7x10",0.00247286660417185,0.00627184997720273,0.00285704155169834,0.000397346186979953,0.000480863754587404,0.00745890112493224,0.00108818225997912,0.972654092289572,0.006318856250876
"15x10",0.0145200570462569,0.00955373062632183,0.00545371333047885,0.001014451961516,0.00268291519797871,0.0231600344663083,0.00244367131689412,0.860568094136618,0.0806033319176271
"13x10",0.00734151404561534,0.0312997667056584,0.0101596304601577,0.00127546338380451,0.00308240627038743,0.0608564096206946,0.00168986879339455,0.864063163626533,0.0202317770937548
"12x10",0.00314447141146579,0.0179009985101221,0.0058182235684623,0.00174449184337476,0.00260695584496155,0.0242197297284649,0.00121863780830007,0.928968745834154,0.0143777454506949
"14x10",0.000480588516103585,0.00192509545159183,0.000647609194092529,3.39055617034205e-05,0.000167095775951363,0.00732042643219083,0.000448613801625641,0.977712409925153,0.0112642553415877
"18x11",0.00114147199706676,0.00284365250417308,0.0011254990266083,8.70510879757615e-05,0.000226005989072421,0.00741454997562125,0.000242615978897814,0.985787647136888,0.00113150630369686
"16x11",0.00472551368592891,0.0127551158616804,0.001733558721205,0.000124012945819814,0.000501841285634605,0.0385383815665093,0.000230054159456027,0.930671583034297,0.0107199387394685
"4x11",0.00553378909406833,0.0236046442305412,0.00525271587442669,0.000375955401442971,0.000589361816912239,0.0348372708464904,0.00081499049884207,0.921137898359864,0.00785337387741193
"5x11",0.0194604510074364,0.027656942126388,0.0105013515785448,0.0024591839819563,0.00747425520188252,0.0328970791046908,0.0020131217706471,0.876903938138059,0.0206336770903954
"10x11",0.00654077319041065,0.00764152674092147,0.00272003722868887,0.000248056012992763,0.00136011380454145,0.024410320391163,0.00153170693305613,0.93384629709637,0.0217011686018562
"15x11",0.0036078099113193,0.0172945276540075,0.00402737563223507,0.000893435933185648,0.00611662261159911,0.0573379869507992,0.000644771821718489,0.901836898643488,0.00824057084164762
"8x11",0.00275216389281847,0.0066180253668538,0.00209430727576549,0.000367815060181192,0.000522733360584063,0.00939270377149082,0.000469933187448235,0.974800837624843,0.00298148046001502
"17x11",0.00744402215373726,0.0162629859140055,0.00872606517630637,0.000511446538238709,0.00475443637416614,0.037313209598591,0.000750810991082471,0.892608186354961,0.031628836898912
"9x11",0.004814394120099,0.0121717717017346,0.00264260709906307,0.000193249869909641,0.000578324281847177,0.00867445453397707,0.00041400220551043,0.96823849598457,0.00227270020328877
"19x11",0.00118987564419746,0.007809840176711,0.00213048116750825,0.000125414507507498,0.000362798174891592,0.0231792087424434,0.000477530798969992,0.963097555831109,0.00162729495666163
"12x11",0.00641524481118125,0.0105434474991638,0.00215784005933126,0.000364962402795353,0.000854931492658393,0.020901094694387,0.000306120974401751,0.951521644052082,0.00693471401399892
