"","Endothelial","CAFs","PVL","Plasmablasts","T-cells","Myeloid","Cancer Epithelial","Normal Epithelial","B-cells"
"10x5",0.0736803868058751,0.238710028085241,0.22257669105413,0.173067421609407,0.000987783436448579,0.0770801883152818,0.195484579836772,0.016889853340914,0.00152306751593105
"8x5",0.000148966167568674,0.0978727352980874,0.188990306854535,0.000202174176225928,1.31174213959376e-05,0.216598112643773,0.483276390966917,0.0128758967926296,2.2299678868376e-05
"9x5",0.0243023170101313,0.323166268711506,0.0472655071068765,0.193953527942589,0.00140545165845859,0.261501771636114,0.140538189369915,0.00759581995783582,0.000271146606573759
"13x5",0.00381038436697979,0.273372321221312,0.165053766257617,0.238750752585653,0.00131473993829681,0.204131716647349,0.0827230521001512,0.0223172155136155,0.00852605136902586
"12x5",0.0210738274156173,0.260267617667949,0.0606119782818989,0.089767562022811,0.0953401754301279,0.296047795279539,0.135209646953158,0.0160925010719802,0.0255888958769192
"15x5",0.0252442503882268,0.398471229568494,0.0993320645303644,0.0923052685441818,0.00228943692063445,0.173688239770496,0.188155766207913,0.018282586873022,0.00223115719666714
"14x5",0.0173765663057784,0.234499047023632,0.206511773957387,0.220620236630077,0.0111377375597159,0.123821071128629,0.119007847167612,0.0140389580410162,0.0529867621861531
"16x6",0.0361202963476395,0.302230401544053,0.0314832788264393,0.301675526131425,0.0232037482776582,0.138818360441229,0.08053745664833,0.057280525738922,0.0286504060443043
"11x6",0.0102662823595517,0.316537519569698,0.0440856394734464,0.164208842984437,0.0358334873743592,0.269441460964902,0.117457386570643,0.0193721173691616,0.0227972633338015
"8x6",0.00554856573575697,0.259568786366465,0.190907109972145,0.257541757854258,0.0217062842038759,0.0998433613907732,0.0784591468093992,0.0155277180839339,0.0708972695833935
"15x6",0.0054375593619698,0.31148353793995,0.0525722575003381,0.12122641064378,0.000912042074369877,0.142373001129562,0.348716105930524,0.0139742369320278,0.00330484848747852
"17x6",0.0135241350340113,0.243588751207528,0.0929297918128235,0.278013591868875,0.00580750170865681,0.0970941074908311,0.256521859676635,0.00382964175959214,0.00869061944104707
"18x6",0.00761566000932057,0.0606744994568376,0.128584456413546,0.229081803746661,8.32226579570269e-06,0.167177243562222,0.406662451911081,9.98916954298082e-05,9.5670939106551e-05
"13x6",0.0343333703291239,0.183859057619182,0.0643609500001617,0.210152447144654,0.00150698070185719,0.381253505330336,0.109866464482619,0.00550633603601752,0.0091608883560479
"14x6",0.00508641399297687,0.406247025260686,0.0373708017124544,0.10481192983201,0.000123954083834391,0.314523688445706,0.126853371949689,0.00414694869336914,0.000835866029274878
"12x6",0.00782615361825155,0.157494061398374,0.0349210700404563,0.0384216785421663,0.00651120160947971,0.584947494537026,0.146077088893849,0.00922740346741897,0.0145738478929784
"10x6",0.0123714336239186,0.237395688043952,0.153758336011691,0.10869770217315,0.0145565328148227,0.352483058388126,0.103206906627966,0.00971825923211943,0.00781208308425456
"9x6",0.0179588831685188,0.232866857685744,0.0624375613487591,0.150583426143537,0.0342881639068651,0.347439261012613,0.117817460532093,0.0275455775482258,0.00906280865364515
"9x7",0.0124469434085584,0.221009610772656,0.0437651025071495,0.237991171002425,0.0306452447537872,0.331070359620811,0.0363428592536125,0.0124031366316059,0.0743255720493941
"11x7",0.00821215915628864,0.264213933991832,0.0266176158078614,0.12959292702933,0.0145974060356606,0.348893375342165,0.115214197561245,0.0286395522233858,0.0640188328522311
"32x7",0.00263014133556432,0.36116244372119,0.130286206972532,0.12545269327905,0.00186392389956369,0.0708187968625563,0.28676205333265,0.0105731822735817,0.0104505583233115
"20x7",0.0205875299322979,0.218673403192901,0.00125891564018529,0.141216246014113,0.00222132525858974,0.269445115169038,0.332519696335513,0.0123583372254417,0.00171943123191982
"10x7",0.00996878825123856,0.229480699829546,0.176725982526105,0.028577459177346,0.0152448995029009,0.26515193426329,0.223456055374354,0.0190825648428073,0.032311616232411
"31x7",0.00492476192983403,0.332302844696868,0.0998998728885173,0.0687610145248106,0.00686166048636515,0.0842156431424458,0.379820058628987,0.0180759588668731,0.00513818483529939
"19x7",0.00434406369286114,0.101466624740809,0.0245445875347992,0.605484574812267,0.00160186498271119,0.0831791319224833,0.0879137743340291,0.0560746268165905,0.0353907511634489
"16x7",0.0246606988474168,0.378979225886859,0.0306511461835453,0.111969498085081,0.0806481442040531,0.165911966728538,0.142526134024828,0.0233379336032281,0.041315252436451
"30x7",0.000533657262062157,0.448092629531034,0.255867625961834,0.004869136466848,8.90191977057375e-05,0.0220692326402547,0.265875111955041,0.00259608672270488,7.50026251601136e-06
"18x7",0.0292607789710592,0.2935209878554,0.217604606385195,0.216875519569459,0.00250431477343196,0.0471038836925606,0.146516505404731,0.0367438267713599,0.00986957657680337
"17x7",0.0395268177520327,0.412358547237042,0.00211428244577062,0.0629262668807456,0.0144682412776706,0.25149861414548,0.149534872720518,0.0526835937033476,0.0148887638373922
"15x7",0.0260348577641248,0.417309541930789,0.057326738249679,0.0194237282579299,0.00395424793351348,0.238375405909455,0.220502193790596,0.00884414691344305,0.00822913925046986
"8x7",0.0257753298305946,0.148731132705499,0.292807584493021,0.324652859969847,0.0041772692193034,0.153693912982613,0.0237277681505884,0.0128740826203292,0.0135600600282036
"7x7",0.000369633963325952,0.0867543413153443,0.141947354072669,0.0585154393361848,0.00189204672002039,0.272370743318283,0.388895677478423,0.0410237297960527,0.00823103399969677
"14x7",0.00225566975627367,0.450639655018989,0.00847636706309452,0.0222323677804081,1.13674756285644e-05,0.133839390622175,0.380705398264467,0.00181275973767374,2.7024281290232e-05
"12x7",0.00202852574736362,0.359579503331117,0.00906445027259161,0.146127576282452,0.0011554645440112,0.233296802461466,0.239805720131054,0.00751647343399222,0.00142548379595365
"13x7",0.0191585073938126,0.168205076813769,0.0612366436908131,0.0327606864594481,0.00135867056186898,0.165924034570601,0.519502788260719,0.0294012131535431,0.00245237909542525
"26x8",0.0202256373430419,0.212701297842913,0.0767094310826713,0.0318616013822477,0.00762330517690566,0.205987844461985,0.375339158586015,0.057642921302066,0.011908802822154
"18x8",0.107395783438476,0.282267895661063,0.0942974201083902,0.0657006087312424,0.00608265276528783,0.266220977879755,0.129152661034722,0.0172063717357711,0.0316756286452928
"21x8",0.00429601746424429,0.434438724325298,0.0219355754645,0.00287341515062562,0.00450942285992156,0.137858439017533,0.321165659516924,0.0482808198891467,0.0246419263118073
"22x8",0.0428057863983577,0.246238912554121,0.0770939070250466,0.257274738215722,0.00104447368749824,0.134630293196628,0.210498523863679,0.0285661077861256,0.00184725727282101
"10x8",0.00457805121918283,0.311233524964581,0.0606376336140205,0.302460061735713,0.00111913479780908,0.115762140511925,0.19687311149084,0.00530337915619968,0.00203296250972959
"28x8",0.010821661941281,0.0171285309404097,0.08252385651373,0.0499616642413914,0.218848596473645,0.0289748189099041,0.14625347096812,0.0124877417767776,0.432999658234741
"20x8",0.00404191520632965,0.171888434612749,0.0534034011184538,0.161177564875465,0.0106123938956901,0.0486460382338394,0.426799837866869,0.105782783895244,0.0176476302953601
"19x8",0.0429107014726377,0.152611841986049,0.0307408383987404,0.383401937842518,0.00425346705724204,0.185730398970135,0.172708677625305,0.0232785815560444,0.00436355509132764
"9x8",0.0202561200182404,0.188548441313246,0.14254521444325,0.183106882182108,0.0253204266218373,0.225514714910799,0.176464242644221,0.0154426281854332,0.0228013296808655
"11x8",0.00451608685949451,0.23898555603176,0.137805624954361,0.143247777474273,0.000774201562349485,0.163293141876795,0.292811114914055,0.0162553291643558,0.0023111671625569
"8x8",0.0503391856380001,0.195589037765159,0.0351436888814472,0.349141575253106,0.0195205608440968,0.240800257545897,0.0370474212967454,0.0327804930417512,0.0396377797337979
"7x8",0.00396663288697762,0.209738565084816,0.0141149777876682,0.426908272108314,0.000840067577898734,0.224162641660032,0.112215464181232,0.00676053778790654,0.00129284092515499
"16x8",0.005184830961426,0.422542304744962,0.00408093395725691,0.240467074167754,0.00279232466443957,0.20334562633639,0.106975983165006,0.009001879058995,0.0056090429437708
"14x8",0.0285228985385356,0.244194520109917,0.0892820351025237,0.0146882420858567,0.00130927434307404,0.30311030869154,0.293997776102829,0.0207642245156714,0.00413072051005315
"12x8",0.0124819035322894,0.218018429262333,0.0116370485940469,0.0487191283208768,0.00383901776854617,0.297084947468835,0.365391230816493,0.0320361012949429,0.0107921929416372
"13x8",0.0133978837364661,0.265755676686341,0.00858016580841124,0.171707625201761,0.000663118446168544,0.103864921726488,0.405974715610761,0.0286178939356642,0.00143799884794017
"23x8",0.0606421355881121,0.299019897406219,0.105253406530895,0.283501089006012,0.0119680252502132,0.0792258500184406,0.0769798016784536,0.0376979824533603,0.0457118120682934
"24x8",0.00331718892074609,0.36246533066477,0.144536997716112,0.193747514720998,0.00039372815920669,0.158524997493831,0.125345222076891,0.0110274456453206,0.000641574602123326
"17x8",0.0393118369511174,0.360681802765785,0.0531477781518674,0.194305857572563,0.00154967236041336,0.230078570706318,0.104682080115214,0.0122042884050116,0.00403811297171012
"21x9",0.0921607829866577,0.251920502445503,0.137837279810053,0.031016252439185,0.00525330346463458,0.115529647488748,0.2977804192513,0.0284097804977203,0.0400920316161985
"20x9",0.0232354984428776,0.308839828393798,0.0179193079153849,0.169391893848098,0.00135607401325797,0.178525984759327,0.278159843665454,0.0198194607160056,0.00275210824579778
"27x9",0.0567544096086658,0.174429718880869,0.0235772478450905,0.131479285460664,0.0947251449354331,0.0174735447284743,0.0940715113161447,0.053267949390675,0.354221187833984
"22x9",0.0706146284546954,0.282570031557899,0.168800561414261,0.0508744773523643,0.00555488613903164,0.179053388476132,0.20647941951133,0.0195796496651645,0.0164729574291219
"16x9",0.00351027315321417,0.202857693299632,0.075284959579785,0.153777151690746,0.00340752850548717,0.170403972896733,0.378101846649174,0.00910915438252871,0.00354741984270001
"11x9",0.0043983721961837,0.312077057237059,0.0230147079800424,0.0408868583853056,0.00017783537416105,0.209859979393338,0.406826217357568,0.00265418741246446,0.000104784663877017
"19x9",0.0120603391645846,0.276301328959217,0.202384800787936,0.175651817504412,0.000417100454308787,0.0844556270795062,0.234962517854445,0.0107923483186293,0.00297411987696164
"28x9",0.0304986259501634,0.165565717422916,0.600153520829843,0.0205228865768442,0.000597459152699263,0.128841606401703,0.0234855165464877,0.0281773122291709,0.00215735489017209
"29x9",0.0271459856317168,0.170686376866588,0.255889966506486,0.284032515999808,0.000531151159265285,0.137541716997402,0.121260908174412,0.00286416503937543,4.7213624946986e-05
"18x9",0.0596533640911085,0.307952162428659,0.042706386003906,0.0462967170415981,0.00180265460923951,0.174758242467083,0.34434223395359,0.0178575387697513,0.00463070063506498
"9x9",0.00152791592385973,0.111030442680497,0.0216728868633787,0.554543460840548,0.00132045832595906,0.107746396749382,0.187593532596028,0.0107829826511508,0.0037819233691968
"10x9",0.0302105720108368,0.111416121750152,0.00676767835017531,0.541059964024969,0.000998191412026132,0.0831239608513086,0.221065703442935,0.00419774300556534,0.00116006515203085
"24x9",0.00838901851462293,0.271192883799754,0.0183720789665197,0.100170227211214,0.00041517247531504,0.140741701311933,0.441306168984092,0.0181931399968573,0.00121960873969196
"7x9",0.0342428027704382,0.170757527272322,0.200825423235296,0.0900192791037587,0.00405258114275057,0.32247057131368,0.130483698194462,0.0273167735422795,0.0198313434250136
"23x9",0.0125049321100861,0.176305493273357,0.0314160434352849,0.291137284603329,0.0143111995279397,0.130132341487171,0.238207581426795,0.096669569881722,0.00931555425431538
"15x9",0.112743068653952,0.210918083269899,0.055059492852065,0.167208238304155,0.00294361274942038,0.22875370915349,0.200704177052775,0.0183640344947936,0.00330558346944918
"13x9",0.00444830211375071,0.192537169831794,0.00740817120476256,0.0642264698104502,0.000644766364849351,0.175549014282595,0.536776230926536,0.0174204098208167,0.000989465644445528
"8x9",0.00102994170473296,0.159055312683789,0.0120840500647233,0.452984245066216,0.00510252888036942,0.218362183479599,0.131131167011315,0.0148068944332044,0.00544367667605044
"14x9",0.0241690630348964,0.295930232145632,0.134692872203852,0.014117499481822,0.000379502701105282,0.170732838378898,0.351488085394126,0.00805252785149953,0.000437378808168243
"12x9",0.00991800415048121,0.21320398704275,0.0369038338289239,0.216611369908883,0.00222533575274597,0.188931965997335,0.301930762269689,0.0219819131171198,0.0082928279320705
"17x9",0.0276133164950447,0.27843937011123,0.111131105711698,0.113554675237874,0.00299024672275552,0.18968187585693,0.216426108638662,0.0379486779764224,0.022214623249384
"24x10",0.0059697567436042,0.278129774249959,0.104229192523764,0.0741951326368466,0.000656388844073483,0.190810566905731,0.292447712993825,0.0501902675256477,0.00337120757654863
"10x10",0.00574237306404682,0.164577806453841,0.00871998556132961,0.333406294559004,0.000831768772695154,0.10111531804945,0.368354026212286,0.0150495428447067,0.00220288448264181
"22x10",0.0099240479168704,0.190598674007007,0.0354570083135886,0.44857066005706,0.000663111187063243,0.0905280746457228,0.212187129795942,0.0105494437066154,0.00152185037013116
"21x10",0.0426541513846288,0.354751198039326,0.0185767981183333,0.103490701857057,0.00065671471173523,0.13659492226387,0.329858921195876,0.0121643795684628,0.00125221286071068
