"","X","Endothelial","CAFs","PVL","B.cells","T.cells","Myeloid","Normal.Epithelial","Plasmablasts","Cancer.Epithelial","sid","X1","invasive.cancer","stroma","lymphocyte","others"
"1","BC23377_D1_22x5",0.0473379506414464,0.130259784714468,0.158082917230748,0.456351085163913,0.0514343778204068,0.00238697862431289,0.0477571141345533,0.0115966569805924,0.0947931346895588,"BC23377_D1","22x5",0.0947931346895588,0.335680652586662,0.519382119964912,0.0501440927588662
"2","BC23377_D1_25x5",0.115801631860807,0.135785069864459,0.188453598729528,0.245631583374766,0.0567565440256796,0.0854368243743086,0.0334175626587711,0.00351621805131862,0.135200967060362,"BC23377_D1","25x5",0.135200967060362,0.440040300454794,0.305904345451764,0.11885438703308
"3","BC23377_D1_24x5",0.0815651917468289,0.188941332862618,0.120138368003269,0.407584913343827,0.0577274667964569,0.0327497915510421,0.0214230303713491,0.00492666320315719,0.0849432421214513,"BC23377_D1","24x5",0.0849432421214513,0.390644892612716,0.470239043343441,0.0541728219223912
"4","BC23377_D1_23x5",0.0473184483349457,0.206897604641804,0.123011286119633,0.348100236486362,0.0631553289558787,0.0218715425383974,0.0273429637121551,0.0108992945271053,0.15140329468372,"BC23377_D1","23x5",0.15140329468372,0.377227339096383,0.422154859969346,0.0492145062505525
"5","BC23377_D1_22x6",0.102736542102982,0.183699858168784,0.0453735630572656,0.282973419398316,0.247859727254594,0.00343424115614812,0.0354575309035037,0.0021639093691544,0.0963012085892526,"BC23377_D1","22x6",0.0963012085892526,0.331809963329032,0.532997056022064,0.0388917720596518
"6","BC23377_D1_21x6",0.0550567152671103,0.0922911414378787,0.180006913208042,0.284828755873169,0.0969492745909363,0.0249572538017079,0.0639711135403562,0.0223775110448677,0.179561321235932,"BC23377_D1","21x6",0.179561321235932,0.327354769913031,0.404155541508973,0.0889283673420641
"7","BC23377_D1_20x6",0.0394676225716214,0.106745136365424,0.13339867535227,0.0661768175273088,0.133543585251324,0.0815726953502577,0.257610347987502,0.0107603884904885,0.170724731103804,"BC23377_D1","20x6",0.170724731103804,0.279611434289315,0.210480791269121,0.33918304333776
"8","BC23377_D1_23x6",0.187653493815551,0.220084798196252,0.271353199524864,0.104482644473857,0.0250049058736539,0.0329517419254294,0.0342406921888351,0.0369049416993311,0.087323582302227,"BC23377_D1","23x6",0.087323582302227,0.679091491536667,0.166392492046842,0.0671924341142645
"9","BC23377_D1_26x6",0.138550870992359,0.122273920536196,0.149955759088381,0.0875337964884163,0.0987526825518109,0.0401568649791299,0.14348038413827,0.0545745354160834,0.164721185809353,"BC23377_D1","26x6",0.164721185809353,0.410780550616936,0.240861014456311,0.1836372491174
"10","BC23377_D1_25x6",0.147771538298086,0.123704551784774,0.104252134847186,0.275293053713593,0.118862179642094,0.00744526330718787,0.0493173397572028,0.0355343012798073,0.137819637370069,"BC23377_D1","25x6",0.137819637370069,0.375728224930046,0.429689534635494,0.0567626030643907
"11","BC23377_D1_24x6",0.0911243923053273,0.315070665846111,0.242357658723879,0.176997006124424,0.0608597348976375,0.0371351000966801,0.0115056284282172,0.0149632688604792,0.0499865447172447,"BC23377_D1","24x6",0.0499865447172447,0.648552716875317,0.252820009882541,0.0486407285248973
"12","BC23377_D1_22x7",0.103729910250615,0.21002634004964,0.189873099629864,0.211933504929781,0.0611072791633509,0.0500870580031367,0.0952936790079583,0.00804920066810832,0.0698999282975455,"BC23377_D1","22x7",0.0698999282975455,0.503629349930119,0.28108998476124,0.145380737011095
"13","BC23377_D1_21x7",0.069313708395077,0.272678696442434,0.0750860324344573,0.261094109892674,0.0437886424907432,0.0625149245868846,0.0445105037657667,0.0410092834006715,0.130004098591291,"BC23377_D1","21x7",0.130004098591291,0.417078437271968,0.345892035784089,0.107025428352651
"14","BC23377_D1_20x7",0.0759620435534287,0.126643754219313,0.103758618756559,0.308827235993661,0.135180541525177,0.0115496995983347,0.0876129049923765,0.0204079671162051,0.130057234244945,"BC23377_D1","20x7",0.130057234244945,0.306364416529301,0.464415744635043,0.0991626045907112
"15","BC23377_D1_19x7",0.0969370036676402,0.192132931457519,0.169640302823065,0.104867179775478,0.0449234876527571,0.0124005936136385,0.130192333148732,0.0793444000134744,0.169561767847696,"BC23377_D1","19x7",0.169561767847696,0.458710237948224,0.22913506744171,0.14259292676237
"16","BC23377_D1_26x7",0.133555886660766,0.0790992600995382,0.128247056268458,0.223427767771594,0.064193644285954,0.0337139394385793,0.0234370054598049,0.203811298402556,0.11051414161275,"BC23377_D1","26x7",0.11051414161275,0.340902203028762,0.491432710460104,0.0571509448983842
"17","BC23377_D1_25x7",0.0773912563408166,0.168787735767763,0.19480700529876,0.0656962345724256,0.091812033623047,0.063513850783418,0.065668766184924,0.0262955172877454,0.2460276001411,"BC23377_D1","25x7",0.2460276001411,0.44098599740734,0.183803785483218,0.129182616968342
"18","BC23377_D1_18x7",0.0358435739442828,0.120112800717698,0.219904548189159,0.150135236310899,0.057967575168145,0.0951207463235003,0.0966578506604578,0.0377005800009006,0.186557088684958,"BC23377_D1","18x7",0.186557088684958,0.37586092285114,0.245803391479945,0.191778596983958
"19","BC23377_D1_23x7",0.0560150738007086,0.180228540887807,0.116321853953612,0.320010034333712,0.11833672873343,0.00459387110654854,0.0907673526851111,0.0194793686335631,0.0942471758655092,"BC23377_D1","23x7",0.0942471758655092,0.352565468642128,0.457826131700705,0.0953612237916596
"20","BC23377_D1_24x7",0.091201444953867,0.178342155635494,0.155776911685145,0.157735104082092,0.0865049848946053,0.0268678470160391,0.0937613066172591,0.0349905501185047,0.174819694996994,"BC23377_D1","24x7",0.174819694996994,0.425320512274506,0.279230639095202,0.120629153633298
"21","BC23377_D1_17x7",0.0497657587872497,0.161976372655039,0.0499684061299565,0.0968510454492273,0.101381796110339,0.0211891648334524,0.153480476790213,0.0241375712761163,0.341249407968406,"BC23377_D1","17x7",0.341249407968406,0.261710537572245,0.222370412835683,0.174669641623665
"22","BC23377_D1_22x8",0.0364085321532062,0.225450207387839,0.156399422541309,0.226935994785512,0.12678428301395,0.0399364993542357,0.0403470150894071,0.0443908259655049,0.103347219709036,"BC23377_D1","22x8",0.103347219709036,0.418258162082354,0.398111103764967,0.0802835144436428
"23","BC23377_D1_21x8",0.0369274169083517,0.159060749855775,0.128214169320731,0.312318192677525,0.104388734805051,0.0534515237256414,0.077875844008523,0.0192233906741947,0.108539978024208,"BC23377_D1","21x8",0.108539978024208,0.324202336084858,0.435930318156771,0.131327367734164
"24","BC23377_D1_26x8",0.0616992778619692,0.146209219281302,0.140435455845948,0.168963794973948,0.0349155842439813,0.092909926074979,0.0678379691745742,0.0524898007622978,0.234538971781001,"BC23377_D1","26x8",0.234538971781001,0.348343952989219,0.256369179980227,0.160747895249553
"25","BC23377_D1_19x8",0.019521210462706,0.0715275152727054,0.101077776294793,0.511149044386169,0.0972894699989109,0.00586019965424904,0.0750073653769285,0.00743725027654725,0.111130168276991,"BC23377_D1","19x8",0.111130168276991,0.192126502030204,0.615875764661627,0.0808675650311775
"26","BC23377_D1_25x8",0.107273403171522,0.144430892169597,0.114456259590673,0.134761042371138,0.0963359945042444,0.0984739376945735,0.0413073489287836,0.054575141608194,0.208385979961276,"BC23377_D1","25x8",0.208385979961276,0.366160554931792,0.285672178483576,0.139781286623357
