"","X","Endothelial","CAFs","PVL","B.cells","T.cells","Myeloid","Normal.Epithelial","Plasmablasts","Cancer.Epithelial","sid","X1","invasive.cancer","stroma","lymphocyte","others"
"1","BC23377_C1_22x8",0.0295022823427075,0.277728290279244,0.102842446173087,0.404640704381418,0.0359602412547065,0.026926425171584,0.0295936335915781,0.00872896074141168,0.0840770160642639,"BC23377_C1","22x8",0.0840770160642639,0.410073018795038,0.449329906377536,0.0565200587631621
"2","BC23377_C1_25x8",0.0493155272334295,0.10892957751876,0.109093000175359,0.31402645587087,0.113582659513196,0.00199391190557026,0.0442869745316316,0.00587608291456004,0.252895810336623,"BC23377_C1","25x8",0.252895810336623,0.267338104927549,0.433485198298626,0.0462808864372019
"3","BC23377_C1_21x8",0.0318759143762863,0.17896996358419,0.172058338383605,0.443560315441926,0.0556651501240027,0.0179445268933967,0.0185075796183024,0.00186690029210155,0.0795513112861899,"BC23377_C1","21x8",0.0795513112861899,0.382904216344081,0.50109236585803,0.0364521065116991
"4","BC23377_C1_20x8",0.161618458474989,0.118891596205328,0.137687904613977,0.278261527758088,0.0485915449387235,0.0095835855726683,0.0424991038379606,0.0614121625044478,0.141454116093817,"BC23377_C1","20x8",0.141454116093817,0.418197959294294,0.388265235201259,0.0520826894106289
"5","BC23377_C1_23x8",0.0833380933292734,0.168522360803102,0.150888124875164,0.29621819021774,0.0898058121179244,0.0255522024043068,0.0533371868266081,0.0108829578690193,0.121455071556861,"BC23377_C1","23x8",0.121455071556861,0.402748579007539,0.396906960204684,0.0788893892309149
"6","BC23377_C1_24x8",0.190367240965665,0.289880383099377,0.120184772926644,0.134679032058331,0.0455207971731477,0.0129689365138125,0.0694732792902486,0.00583642440195832,0.131089133570815,"BC23377_C1","24x8",0.131089133570815,0.600432396991686,0.186036253633437,0.0824422158040611
"7","BC23377_C1_26x8",0.0510425195983248,0.216346297601902,0.0527759040595846,0.049256764546345,0.0888041867109373,0.0630189520840457,0.162957645702602,0.0264840305504162,0.289313699145843,"BC23377_C1","26x8",0.289313699145843,0.320164721259811,0.164544981807698,0.225976597786648
"8","BC23377_C1_22x9",0.181767480457389,0.161130175713358,0.235613012084596,0.19249044093046,0.0623503260567732,0.0125008977017843,0.0441277241790855,0.00775107068300203,0.102268872193552,"BC23377_C1","22x9",0.102268872193552,0.578510668255343,0.262591837670235,0.0566286218808698
"9","BC23377_C1_26x9",0.0368496445442766,0.0608791364868585,0.0616529164229029,0.083380189568129,0.142097978911412,0.0332317856306745,0.134028268618349,0.0437714549197888,0.404108624897609,"BC23377_C1","26x9",0.404108624897609,0.159381697454038,0.26924962339933,0.167260054249023
"10","BC23377_C1_21x9",0.0617106426544786,0.270278480334143,0.0674523376282443,0.284861361654134,0.0568657894798352,0.054129991778288,0.110611357243194,0.00258746535666619,0.0915025738710162,"BC23377_C1","21x9",0.0915025738710162,0.399441460616866,0.344314616490635,0.164741349021482
