"","X","Endothelial","CAFs","PVL","B.cells","T.cells","Myeloid","Normal.Epithelial","Plasmablasts","Cancer.Epithelial","sid","X1","invasive.cancer","stroma","lymphocyte","others"
"1","BC23803_E1_27x13",0.0660606381882556,0.135250814432859,0.0505015050871748,0.243522766437249,0.0454449893187165,0.16239841418983,0.104606449920378,0.0278526177950903,0.164361804630447,"BC23803_E1","27x13",0.164361804630447,0.251812957708289,0.316820373551056,0.267004864110208
"2","BC23803_E1_31x13",0.0565363219720544,0.0933495488884682,0.087893854654386,0.25234578210459,0.0560266665154334,0.174328638556204,0.113075350882087,0.0394206744657426,0.127023161961034,"BC23803_E1","31x13",0.127023161961034,0.237779725514909,0.347793123085766,0.287403989438291
"3","BC23803_E1_32x13",0.0678542057365869,0.0733732753216266,0.0762363132896722,0.188410107986993,0.0831467802052786,0.105345616658951,0.0991491787833403,0.0367121283220953,0.269772393695456,"BC23803_E1","32x13",0.269772393695456,0.217463794347886,0.308269016514367,0.204494795442291
"4","BC23803_E1_28x13",0.0809596805220631,0.136496072274221,0.0592014330932065,0.0448702464042837,0.0188433980301889,0.278027595238022,0.0992791261290808,0.0967929407805223,0.185529507528412,"BC23803_E1","28x13",0.185529507528412,0.276657185889491,0.160506585214995,0.377306721367103
"5","BC23803_E1_30x13",0.072093172122702,0.150741335448195,0.0331859048637485,0.19729860445772,0.06681128832839,0.19111161348575,0.142515536766539,0.0186391809580445,0.127603363568911,"BC23803_E1","30x13",0.127603363568911,0.256020412434646,0.282749073744154,0.333627150252289
"6","BC23803_E1_19x13",0.0348349479349499,0.108498502136168,0.0319723260895838,0.352707964251952,0.0517302064151775,0.185589667170034,0.122389189065085,0.0042425189341039,0.108034678002946,"BC23803_E1","19x13",0.108034678002946,0.175305776160702,0.408680689601233,0.307978856235119
"7","BC23803_E1_29x13",0.0374125917307059,0.113888390155677,0.0458780492356054,0.0784124574518483,0.0801761037789092,0.206702844526628,0.294641252335992,0.013979987592742,0.128908323191892,"BC23803_E1","29x13",0.128908323191892,0.197179031121988,0.172568548823499,0.50134409686262
"8","BC23803_E1_22x14",0.0396721335305731,0.19206992113524,0.048506618161656,0.0675876902296378,0.037131636238553,0.288540667767277,0.1664224399364,0.0167613239966819,0.143307569003981,"BC23803_E1","22x14",0.143307569003981,0.280248672827469,0.121480650464873,0.454963107703677
"9","BC23803_E1_20x14",0.0312843628354854,0.116291209872844,0.0446703368810721,0.158135907656079,0.129351669998408,0.177681087655927,0.176532376886795,0.00781532659520232,0.158237721618187,"BC23803_E1","20x14",0.158237721618187,0.192245909589401,0.295302904249689,0.354213464542722
"10","BC23803_E1_32x14",0.0402060766982009,0.120334872205767,0.0303784479903,0.160721308888935,0.105592435301708,0.132546816147694,0.146865900013266,0.0550153813680438,0.208338761386085,"BC23803_E1","32x14",0.208338761386085,0.190919396894268,0.321329125558687,0.27941271616096
"11","BC23803_E1_25x14",0.0592180491156217,0.131892815809244,0.0393890359531029,0.174465283172923,0.0627033293606884,0.232128505700631,0.101347940739403,0.0386657883072654,0.160189251841121,"BC23803_E1","25x14",0.160189251841121,0.230499900877969,0.275834400840877,0.333476446440034
"12","BC23803_E1_31x14",0.0651794962477944,0.115595517689518,0.0711672262029983,0.193717053515109,0.0473490551602823,0.194691625847353,0.142345082420495,0.0282079380959827,0.141747004820467,"BC23803_E1","31x14",0.141747004820467,0.251942240140311,0.269274046771374,0.337036708267848
"13","BC23803_E1_24x14",0.0708922462729843,0.141694557794633,0.0684712816030862,0.0983274865140625,0.031730805238728,0.214243881495115,0.155050631059936,0.0278007007020262,0.191788409319429,"BC23803_E1","24x14",0.191788409319429,0.281058085670703,0.157858992454817,0.369294512555051
"14","BC23803_E1_17x14",0.00774311329965319,0.306757396318176,0.0221834960998178,0.0702248357203811,0.0132852427731733,0.350499150276284,0.0837574206831252,0.0290626382125036,0.116486706616886,"BC23803_E1","17x14",0.116486706616886,0.336684005717647,0.112572716706058,0.434256570959409
"15","BC23803_E1_19x14",0.152710908078756,0.19736021316992,0.0796285890312152,0.0812458834068837,0.0279672079840232,0.184730007973553,0.0961618940045071,0.0601570562773958,0.120038240073746,"BC23803_E1","19x14",0.120038240073746,0.429699710279891,0.169370147668303,0.28089190197806
"16","BC23803_E1_16x14",0.028234347007002,0.27169688747221,0.0846377415406075,0.12344627589873,0.0416277559388287,0.350678995979288,0.0347232599183173,0.0082222027975173,0.0567325334474997,"BC23803_E1","16x14",0.0567325334474997,0.38456897601982,0.173296234635076,0.385402255897605
"17","BC23803_E1_23x14",0.0575827621873571,0.149168055324079,0.072644165658201,0.0449759164875365,0.0243312175112549,0.283905597319928,0.129859615400362,0.0564518901786967,0.181080779932585,"BC23803_E1","23x14",0.181080779932585,0.279394983169637,0.125759024177488,0.41376521272029
"18","BC23803_E1_15x14",0.0324292652803892,0.214409617106033,0.0632379638351274,0.0528575241968648,0.042078706237854,0.239210055961912,0.216993452437061,0.00764041016573227,0.131143004779026,"BC23803_E1","15x14",0.131143004779026,0.31007684622155,0.102576640600451,0.456203508398973
"19","BC23803_E1_18x14",0.0230634905560151,0.384867425550781,0.0557190598811387,0.050516941627292,0.0123534206362025,0.219223311937906,0.0449880468587255,0.148268857410458,0.060999445541481,"BC23803_E1","18x14",0.060999445541481,0.463649975987935,0.211139219673952,0.264211358796631
"20","BC23803_E1_29x14",0.0758820746158421,0.131203877699594,0.0615231719329765,0.108518593769452,0.0644693802693905,0.166998994112862,0.211351724069325,0.0166770411106377,0.16337514241992,"BC23803_E1","29x14",0.16337514241992,0.268609124248413,0.18966501514948,0.378350718182187
"21","BC23803_E1_28x14",0.0575742024345279,0.187089835937569,0.0276496918977077,0.0661543796017962,0.0355406954808799,0.220215301347639,0.148485774313261,0.0566143779798286,0.20067574100679,"BC23803_E1","28x14",0.20067574100679,0.272313730269805,0.158309453062505,0.3687010756609
"22","BC23803_E1_27x14",0.0429566239147668,0.126755760411997,0.0497452976841294,0.0721127838427185,0.0634874756029599,0.210160157422156,0.189024152424943,0.0737325031800693,0.17202524551626,"BC23803_E1","27x14",0.17202524551626,0.219457682010893,0.209332762625748,0.399184309847099
"23","BC23803_E1_30x14",0.0470142993013156,0.146851143941771,0.0524091642436224,0.0275641612544633,0.0332147608750056,0.265251316561286,0.223666868169387,0.0268156692351152,0.177212616418035,"BC23803_E1","30x14",0.177212616418035,0.246274607486709,0.0875945913645841,0.488918184730673
"24","BC23803_E1_26x14",0.0580778372190345,0.100196122588033,0.0627085550625444,0.181739402751173,0.0128257528532132,0.304289270173631,0.107648948816771,0.018305458671526,0.154208651864074,"BC23803_E1","26x14",0.154208651864074,0.220982514869612,0.212870614275912,0.411938218990402
"25","BC23803_E1_14x14",0.0311847582983864,0.25937411735301,0.0482859612986772,0.126838062363987,0.0357288625561219,0.121441461987656,0.201358082217868,0.060768488600404,0.11502020532389,"BC23803_E1","14x14",0.11502020532389,0.338844836950074,0.223335413520513,0.322799544205524
"26","BC23803_E1_31x15",0.0279844199649148,0.106377827883482,0.033958005357661,0.144647502014207,0.0981944380041886,0.134460668013059,0.1670131925357,0.0375746529480866,0.249789293278702,"BC23803_E1","31x15",0.249789293278702,0.168320253206058,0.280416592966482,0.301473860548759
"27","BC23803_E1_30x15",0.0681247321056244,0.116567999205378,0.0426534240052522,0.331968436317482,0.0388431195710922,0.150219238657612,0.131300907623364,0.0138497075241508,0.106472434990045,"BC23803_E1","30x15",0.106472434990045,0.227346155316255,0.384661263412725,0.281520146280976
"28","BC23803_E1_25x15",0.0535246971181515,0.151660742764171,0.0656174919343052,0.0787483390051626,0.0276984099750784,0.237802889489354,0.155690010277893,0.0327580409330837,0.196499378502801,"BC23803_E1","25x15",0.196499378502801,0.270802931816628,0.139204789913325,0.393492899767247
"29","BC23803_E1_22x15",0.0536285853971871,0.0968433504318078,0.0446199930448617,0.031812121302663,0.0221217645849557,0.250508418073927,0.279261194770528,0.0117899747045041,0.209414597689566,"BC23803_E1","22x15",0.209414597689566,0.195091928873857,0.0657238605921228,0.529769612844455
"30","BC23803_E1_24x15",0.0474854405312465,0.0974048907555115,0.0847473270238491,0.179382292196239,0.0270301774518267,0.172893654148684,0.253892882467619,0.0163777511634947,0.12078558426153,"BC23803_E1","24x15",0.12078558426153,0.229637658310607,0.22279022081156,0.426786536616303
"31","BC23803_E1_20x15",0.0554900980051435,0.12828851592631,0.0430681482965003,0.113400481137412,0.0282487980853657,0.278750787725518,0.216294603413943,0.00304561451970515,0.133412952890102,"BC23803_E1","20x15",0.133412952890102,0.226846762227954,0.144694893742483,0.495045391139461
"32","BC23803_E1_21x15",0.0399825078990228,0.135642252684589,0.0812014217837479,0.126434333177055,0.0410858284107469,0.282166286094783,0.117577675150989,0.021518050293831,0.154391644505236,"BC23803_E1","21x15",0.154391644505236,0.25682618236736,0.189038211881633,0.399743961245772
"33","BC23803_E1_26x15",0.0863817077487926,0.131037175030457,0.0509221853541361,0.0968223919289794,0.0437698268252762,0.145357066571638,0.185280984661783,0.0302802285934333,0.230148433285504,"BC23803_E1","26x15",0.230148433285504,0.268341068133386,0.170872447347689,0.330638051233421
"34","BC23803_E1_28x15",0.0719068446384613,0.118864507945248,0.0588875944125824,0.161882974679113,0.067761245608265,0.164968353342716,0.160223930021996,0.0332515069693402,0.162253042382278,"BC23803_E1","28x15",0.162253042382278,0.249658946996292,0.262895727256718,0.325192283364712
"35","BC23803_E1_23x15",0.0963231065720538,0.143995256953138,0.0943740315084038,0.0523662089501859,0.0408683039668912,0.203573320254539,0.126084489147786,0.0102133082038041,0.232201974443198,"BC23803_E1","23x15",0.232201974443198,0.334692395033596,0.103447821120881,0.329657809402325
"36","BC23803_E1_27x15",0.0437442631483067,0.120876117689061,0.074901474793761,0.121074874145856,0.0542757095274169,0.20580006248209,0.16649705687106,0.0472620349181756,0.165568406424273,"BC23803_E1","27x15",0.165568406424273,0.239521855631129,0.222612618591449,0.37229711935315
"37","BC23803_E1_29x15",0.0626000916032982,0.141589478218287,0.0649840278695275,0.170421634120837,0.03935186843356,0.178373053415628,0.131446130311567,0.052793152722921,0.158440563304374,"BC23803_E1","29x15",0.158440563304374,0.269173597691113,0.262566655277318,0.309819183727195
"38","BC23803_E1_32x15",0.0949745891269924,0.120265617065277,0.0630418201882517,0.142996237475489,0.0312522692960095,0.151443009212849,0.217162380693855,0.0379874068649249,0.140876670076353,"BC23803_E1","32x15",0.140876670076353,0.278282026380521,0.212235913636423,0.368605389906704
"39","BC23803_E1_16x15",0.0364301445609245,0.172706868588868,0.0501720255364374,0.0558861732314889,0.064056148271513,0.35273598238549,0.0516414257215374,0.0163823324438466,0.199988899259895,"BC23803_E1","16x15",0.199988899259895,0.25930903868623,0.136324653946849,0.404377408107027
"40","BC23803_E1_19x15",0.0673763447858684,0.236211379922674,0.0564996328587178,0.126228653244617,0.0515451832323543,0.215784282355203,0.108177432624113,0.0204671265391598,0.117709964437293,"BC23803_E1","19x15",0.117709964437293,0.36008735756726,0.198240963016131,0.323961714979316
