"","X","Endothelial","CAFs","PVL","Plasmablasts","T.cells","Myeloid","Cancer.Epithelial","Normal.Epithelial","B.cells","sid","X1","invasive.cancer","stroma","lymphocyte","others"
"1","BC23272_D2_7x4",0.020418764056027,0.087615436642714,0.0863674975102877,0.287080190503879,0.0289593827096917,0.0625636988326251,0.282847012804531,0.039288507246112,0.104859509694132,"BC23272_D2","7x4",0.282847012804531,0.194401698209029,0.420899082907703,0.101852206078737
"2","BC23272_D2_6x4",0.00646528996257082,0.166660678708266,0.0324391799942889,0.0827086386959545,0.0246040066238816,0.190089132162127,0.398915777041471,0.0614456834871775,0.0366716133242627,"BC23272_D2","6x4",0.398915777041471,0.205565148665126,0.143984258644099,0.251534815649305
"3","BC23272_D2_7x5",0.00790735276185839,0.146091691198814,0.0276248242968226,0.425824722885188,0.0121908554430592,0.0562440731134616,0.221394783901136,0.0545286486873323,0.0481930477123288,"BC23272_D2","7x5",0.221394783901136,0.181623868257495,0.486208626040576,0.110772721800794
"4","BC23272_D2_8x5",0.00599380048572009,0.0951278222647484,0.104277781372729,0.399569290520764,0.0283976784369759,0.0143905612617194,0.214705703679083,0.0680042748761094,0.0695330871021517,"BC23272_D2","8x5",0.214705703679083,0.205399404123198,0.497500056059892,0.0823948361378288
"5","BC23272_D2_6x5",0.00851400857640085,0.189313843331089,0.0251917336667283,0.314888832137217,0.00636517140329174,0.12905419742225,0.288466448319,0.0260895047210029,0.0121162604230211,"BC23272_D2","6x5",0.288466448319,0.223019585574218,0.33337026396353,0.155143702143253
"6","BC23272_D2_8x6",0.0230453343006667,0.0999576623266285,0.0737033398009874,0.267403922920849,0.0187740648825019,0.0470357278721174,0.291955064137302,0.0914374670702363,0.0866874166887107,"BC23272_D2","8x6",0.291955064137302,0.196706336428283,0.372865404492062,0.138473194942354
"7","BC23272_D2_9x6",0.0108104530749551,0.116245836135062,0.0230677056123409,0.296206247666729,0.0456627454531153,0.105939779109026,0.287805052708927,0.0633763023819482,0.0508858778578964,"BC23272_D2","9x6",0.287805052708927,0.150123994822358,0.392754870977741,0.169316081490974
"8","BC23272_D2_5x6",0.0134322940975612,0.123772675666484,0.0197940052914222,0.183831715481839,0.0146389074140359,0.0938778216904375,0.484791750967371,0.0531036628726275,0.012757166518222,"BC23272_D2","5x6",0.484791750967371,0.156998975055467,0.211227789414097,0.146981484563065
"9","BC23272_D2_7x6",0.00644176038162658,0.1954732825141,0.0171618387710168,0.190937924857248,0.0126189505326166,0.0704804180356619,0.388179480646642,0.0609138361796572,0.0577925080814305,"BC23272_D2","7x6",0.388179480646642,0.219076881666743,0.261349383471295,0.131394254215319
"10","BC23272_D2_3x6",0.00502561077682691,0.164297118448906,0.074554965613218,0.304787134908332,0.00811005224767271,0.0204737503308556,0.274961478620791,0.116361833424454,0.0314280556289434,"BC23272_D2","3x6",0.274961478620791,0.243877694838951,0.344325242784948,0.13683558375531
"11","BC23272_D2_4x6",0.00447756546546184,0.20915674614537,0.00666039539303549,0.255718027026843,0.0113205353911043,0.0378220085629199,0.350615004182225,0.0968771988463174,0.027352518986723,"BC23272_D2","4x6",0.350615004182225,0.220294707003867,0.29439108140467,0.134699207409237
